주차장명,주소,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,위도,경도
신림동공영주차장(구),관악구 신림동 1456-3,노외 주차장,시간제 + 거주자 주차장,02-2081-2675,191,유료,0,2400,0,2400,0,2400,무료,무료,0,250,5,250,5,0,37.48736246,126.9234342
포이초교(구),강남구 개포동 1273-0,노외 주차장,시간제 주차장,02-2176-0925,194,유료,0,2400,0,2400,0,2400,무료,무료,120000,200,5,200,5,18000,37.47564571,127.052365
수유2동 공영주차장(구),강북구 수유동 660-30,노외 주차장,시간제 주차장,02-900-7443,62,유료,0,2400,0,2400,0,2400,무료,무료,60000,150,5,150,5,10000,37.64603214,127.0219081
송중동(임시)공영주차장(구),강북구 미아동 860-123,노외 주차장,시간제 주차장,02-988-1283,6,유료,0,2400,0,2400,0,2400,무료,무료,100000,200,5,200,5,10000,37.61105539,127.0334978
바람개비주차장(구),양천구 목동 919-8,노외 주차장,시간제 주차장,02-2644-1386,186,유료,900,1900,0,0,0,0,유료,유료,70000,150,5,150,5,9000,37.53033824,126.8742749
구로디지털단지역 환승주차장(시),구로구 구로동 810-3,노외 주차장,시간제 주차장,02-859-6318,93,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,0,37.48543179,126.9012433
상계2동 공영주차장(구),노원구 상계동 373-13,노외 주차장,시간제 주차장,02-931-2758,108,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,11100,37.6567376,127.067531
논현로22길(구),강남구 개포동 1266-0,노외 주차장,시간제 주차장,02-576-1492,100,유료,900,1900,0,0,0,0,유료,유료,120000,200,5,200,5,18000,37.48150119,127.0478133
문화회관 지하주차장(구),양천구 신정동 322-0,노외 주차장,시간제 주차장,02-2653-1385,93,유료,900,1900,900,1900,0,0,무료,유료,70000,150,5,150,5,0,37.51655891,126.8632978
신당동 공영주차장(구),중구 신당동 300-11,노외 주차장,시간제 + 거주자 주차장,02-2235-7003,24,유료,0,2400,0,2400,0,2400,무료,무료,240000,250,5,250,5,0,37.56204618,127.0144272
남산동 공영주차장(구),중구 남산동2가 30-4,노외 주차장,시간제 + 거주자 주차장,02-755-7004,49,유료,0,2400,0,2400,0,2400,무료,무료,240000,250,5,250,5,0,37.55923691,126.985624
역삼1동 문화센터(구),강남구 역삼동 829-20,노외 주차장,시간제 주차장,02-2176-0922,118,유료,0,2400,0,2400,0,2400,무료,무료,280000,400,5,400,5,30000,37.49534845,127.0332376
언북초교(구),강남구 청담동 27-0,노외 주차장,시간제 주차장,02-2176-0908,225,유료,0,2400,0,2400,0,2400,무료,무료,180000,300,5,300,5,25000,37.51999434,127.0456589
삼성1동 문화센터(구),강남구 삼성동 161-2,노외 주차장,시간제 주차장,,67,유료,700,2200,530,1800,0,0,무료,유료,200000,400,5,400,5,30000,37.51434435,127.0626519
논현초교(구),강남구 논현동 168-0,노외 주차장,시간제 주차장,02-2176-0943,192,유료,0,2400,0,2400,0,2400,무료,무료,180000,300,5,300,5,25000,37.50822463,127.0262625
언주초교(구),강남구 도곡동 922-0,노외 주차장,시간제 주차장,02-2176-0929,191,유료,0,2400,0,2400,0,2400,무료,무료,120000,200,5,200,5,18000,37.48664435,127.0370504
개포로24길33(구),강남구 개포동 1204-0,노외 주차장,시간제 주차장,02-3443-2784,36,유료,900,1900,0,0,0,0,유료,유료,120000,200,5,200,5,18000,37.47715365,127.0499289
연광초교지하공동주차장(구),은평구 불광동 400-6,노외 주차장,시간제 주차장,02-385-2193,152,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.62387156,126.9242215
서신초교지하공동주차장(구),은평구 신사동 193-0,노외 주차장,시간제 주차장,02-375-3822,110,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.59220373,126.9066978
구파발역 환승주차장(시),은평구 진관동 66-30,노외 주차장,시간제 주차장,02)353-6413,401,유료,0,2400,0,2400,0,2400,무료,무료,65000,100,5,100,5,0,37.63800702,126.9193218
살곶이(평면)(구),성동구 사근동 104-0,노외 주차장,시간제 주차장,02-2204-7960,102,유료,0,2400,0,2400,0,2400,무료,무료,50000,50,5,50,5,5000,37.55384954,127.0482917
응봉동(평면)(구),성동구 응봉동 3-11,노외 주차장,시간제 주차장,02-2292-8650,69,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,10000,37.55039155,127.0344811
마장동축산물(평면)(구),성동구 마장동 525-0,노외 주차장,시간제 주차장,02-2204-7965,35,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,10000,37.57156287,127.0395315
볏골공원 지하공영주차장(구),강서구 화곡동 98-99,노외 주차장,시간제 주차장,02-2065-1575,233,유료,700,2300,900,1500,0,0,무료,유료,60000,100,5,100,5,5000,37.54149243,126.844396
한누리(구),동작구 사당동 1046-1,노외 주차장,시간제 주차장,,45,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,35000,37.47743578,126.9770784
동작주차공원(구),동작구 동작동 326-0,노외 주차장,시간제 주차장,,147,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.50309257,126.9782686
신사동 제1공영주차장(구),관악구 신림동 511-1,노외 주차장,시간제 + 거주자 주차장,02-2081-2675,41,유료,900,1900,900,1600,0,0,무료,무료,0,50,5,50,5,0,37.48444431,126.915461
길음역환승주차장(구),성북구 하월곡동 104-112,노외 주차장,시간제 주차장,02-6923-0023,147,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,10000,37.60423761,127.0258183
잠원동방음언덕형공영주차장(구),서초구 잠원동 10-33,노외 주차장,시간제 + 거주자 주차장,02-511-3015,94,유료,0,2400,0,2400,0,2400,무료,무료,120000,300,10,300,10,0,37.51638775,127.0163891
반포2동 공영주차장(구),서초구 반포동 5-1,노외 주차장,시간제 주차장,02-534-2772,134,유료,0,2400,0,2400,0,2400,무료,무료,120000,300,10,300,10,0,37.50421414,126.9954231
반포서래(구),서초구 반포동 95-13,노외 주차장,시간제 주차장,010-9193-3829,8,유료,1000,2300,1000,2300,0,0,무료,유료,90000,300,10,300,10,15000,37.49814931,126.9978319
청계산 청룡주차장(구),서초구 신원동 224-3,노외 주차장,시간제 주차장,010-6320-5855,41,유료,0,0,500,1900,500,1900,무료,무료,0,200,10,200,10,3000,37.44657405,127.0598862
동부청과(시),동대문구 용두동 8-1,노상 주차장,시간제 주차장,02-2272-8821,25,유료,800,2200,800,2200,800,2200,무료,무료,0,250,5,250,5,0,37.57758831,127.0442753
가마산고가밑(시),구로구 구로동 414-13,노상 주차장,시간제 주차장,031-405-8808,18,유료,900,1900,900,1500,0,0,무료,유료,0,150,5,150,5,0,37.49288559,126.8825117
남대문화물(시),중구 남대문로4가 24-1 0,노상 주차장,시간제 주차장,010-8005-0672,9,유료,900,2000,900,1600,0,0,무료,유료,0,250,5,500,5,0,37.56092361,126.9779427
남대문피혁상가 남측 노상 공영주차장(구),중구 봉래동1가 83-0 0,노상 주차장,시간제 주차장,02)2280-8365,25,유료,800,2200,900,2200,0,0,무료,유료,250000,500,5,500,5,0,37.55917756,126.9736243
신설동(시),동대문구 신설동 114-29,노외 주차장,시간제 주차장,02)2232-6096,78,유료,900,1900,900,1900,900,1900,무료,무료,50000,150,5,150,5,0,37.57252061,127.0242568
천호2동노외주차장(구),강동구 천호동 457-7,노외 주차장,시간제 주차장,02-478-6147,13,유료,900,2000,900,2000,900,2000,무료,무료,0,250,5,250,5,0,37.54032781,127.1230483
구의3동 공영주차장(구),광진구 구의동 219-15,노외 주차장,시간제 + 거주자 주차장,,159,유료,0,2400,0,2400,0,2400,무료,무료,80000,150,5,150,5,0,37.5391245,127.0913897
광진광장공영(구),광진구 군자동 374-7,노외 주차장,시간제 주차장,02-465-2026,36,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0,37.54770648,127.0732696
암사1동(구),강동구 암사동 59-2,노외 주차장,시간제 주차장,02-428-2431,112,유료,0,2400,0,2400,0,2400,무료,무료,80000,150,5,150,5,0,37.55284955,127.1380234
양화진 공영주차장(구),마포구 합정동 139-21,노외 주차장,시간제 주차장,02-300-5052,133,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,37.545733,126.9112039
망원1-2 공영주차장(구),마포구 망원동 403-2,노외 주차장,시간제 주차장,02-300-5052,150,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,37.55558459,126.9058731
휘경유수지 공영주차장(구),동대문구 휘경동 348-0,노외 주차장,시간제 주차장,,55,유료,0,2400,0,2400,0,2400,무료,무료,170000,500,10,500,10,0,37.58908686,127.0697738
장안1동민자유치(장안주차장)(구),동대문구 장안동 392-11,노외 주차장,시간제 주차장,,77,유료,900,1900,900,1900,900,1900,무료,무료,100000,1500,30,500,10,10000,37.56942934,127.0670228
덕원주차장(구),동대문구 장안동 458-8,노외 주차장,시간제 주차장,02-6240-0150,77,유료,0,2400,0,2400,0,2400,무료,무료,110000,1000,30,300,10,15000,37.5623712,127.0687626
청계주차장(구),동대문구 용두동 129-4,노외 주차장,시간제 주차장,02-923-4147,122,유료,0,2400,0,2400,0,0,무료,유료,250000,1500,30,500,10,15000,37.57223438,127.0342946
영등포동제3공영(구),영등포구 영등포동4가 442-0,노외 주차장,시간제 주차장,02-2068-3596,172,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0,37.51707492,126.9033429
가족공원주차장(시),용산구 용산동6가 93-6,노외 주차장,시간제 주차장,02-792-5661,50,유료,0,2400,0,2400,0,2400,무료,무료,120000,300,10,300,10,0,37.52073083,126.9836596
청파동1마을공원공영주차장(구),용산구 청파동3가 118-102,노외 주차장,시간제 주차장,010-8956-2371,105,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0,37.54294115,126.9684714
청파동청사(구),용산구 청파동2가 91-1,노외 주차장,시간제 주차장,070-4257-3611,32,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0,37.54549939,126.9699178
용산전자상가4(구),용산구 원효로3가 51-5,노외 주차장,시간제 주차장,02-707-3163,114,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,37.53388844,126.9600572
후암동주차장(구),용산구 후암동 65-4,노외 주차장,시간제 주차장,010-3330-8150,39,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0,37.55048874,126.9764859
동호대교(남)(시),강남구 압구정동 435-0,노상 주차장,시간제 주차장,02-445-0501,30,유료,900,1900,900,1900,0,0,무료,유료,0,100,5,100,5,0,37.53099965,127.0246643
영등포구청역(시),영등포구 당산동3가 370-0,노외 주차장,시간제 주차장,02)2290-6089,139,유료,500,100,500,100,500,100,무료,무료,80000,150,5,150,5,0,37.52490727,126.8951624
잠실역(시),송파구 신천동 29-0,노외 주차장,시간제 주차장,02-2290-6402,359,유료,500,100,500,100,500,100,무료,무료,180000,400,5,400,5,0,37.51310061,127.1035218
장안2동 노외주차장(시),동대문구 장안동 286-9,노외 주차장,시간제 주차장,02)2290-6417,80,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,37.5782752,127.070619
개화산역(시),강서구 방화동 526-16,노외 주차장,시간제 주차장,,310,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,37.57251514,126.8043919
화랑대역 환승주차장(시),중랑구 묵동 28-0,노외 주차장,시간제 주차장,02)2290-6410,332,유료,0,2400,0,2400,0,2400,무료,무료,39000,50,5,50,5,0,37.61997867,127.0866958
해방촌노외(시),용산구 용산동2가 1-1497,노외 주차장,시간제 주차장,02-2642-6209,24,유료,900,2200,900,2200,900,2200,무료,무료,100000,150,5,150,5,0,37.54438297,126.9843042
광운대입구(구),성북구 장위동 135-1,노외 주차장,시간제 주차장,,18,유료,900,1900,900,1500,0,0,무료,유료,50000,100,5,100,5,0,37.61714694,127.0562518
당산노외(시),영등포구 당산동3가 2-1,노외 주차장,시간제 주차장,032-872-7078,237,유료,800,2100,800,2100,800,2100,무료,무료,100000,150,5,150,5,0,37.52625064,126.8994538
명일동(시),강동구 명일동 47-9,노외 주차장,시간제 주차장,02-445-0501,11,유료,900,2000,900,1500,0,0,무료,유료,180000,250,5,250,5,0,37.55361065,127.1559121
대림역(시),영등포구 대림동 808-24,노상 주차장,시간제 주차장,032-872-7078,24,유료,900,1900,900,1500,0,0,무료,유료,0,150,5,150,5,0,37.49251288,126.895605
도곡로21길7(구),강남구 역삼동 795-25,노외 주차장,시간제 주차장,02-2176-0920,78,유료,0,2400,0,2400,0,2400,무료,무료,280000,400,5,400,5,30000,37.49250002,127.0388068
탄천제2호(구),강남구 일원동 4-47,노외 주차장,시간제 주차장,02-2176-0931,323,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,12000,37.4941244,127.0874386
영희초교(구),강남구 일원동 617-0,노외 주차장,시간제 주차장,02-2176-0934,187,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,12000,37.49192117,127.0812916
배봉공영주차장(구),동대문구 휘경동 286-66,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,199,유료,900,1900,900,1900,900,1900,무료,무료,0,1000,60,0,0,10000,37.58693739,127.0620858
하늘공원주차장(구),구로구 가리봉동 1-11,노외 주차장,시간제 주차장,,198,유료,0,2400,0,2400,0,2400,무료,무료,80000,150,5,150,5,0,37.48713079,126.8808015
개봉1동마을공동주차장(구),구로구 개봉동 416-2,노외 주차장,시간제 주차장,,56,유료,900,1800,0,0,0,0,유료,유료,50000,50,5,50,5,0,37.50455714,126.8460846
개봉1동 노외주차장(시),구로구 개봉동 134-8,노외 주차장,시간제 주차장,,134,유료,0,2400,0,2400,0,2400,무료,무료,75000,100,5,100,5,0,37.50001376,126.8510351
가로공원주차장(구),양천구 신월동 263-0,노외 주차장,시간제 주차장,02-2065-8332,376,유료,0,2400,0,2400,0,2400,무료,무료,70000,150,5,150,5,0,37.53710741,126.8290595
양재시민의숲(매헌)역 공영주차장(구),서초구 양재동 237-2,노외 주차장,시간제 주차장,070-4615-4962,50,유료,800,2100,800,2100,800,2100,무료,무료,140000,500,10,500,10,0,37.47037133,127.0385513
송정동(건물)(구),성동구 송정동 68-57,노외 주차장,시간제 주차장,02-2204-7965,122,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,10000,37.549976,127.0680728
동작대교(시),용산구 용산동6가 69-11,노외 주차장,시간제 주차장,02-2642-6209,87,유료,800,2200,800,2200,800,2200,무료,무료,50000,100,5,100,5,0,37.51801557,126.9839829
당고개아래(시),노원구 상계동 65-40,노외 주차장,시간제 주차장,02-2648-8292,130,유료,800,2200,800,2200,800,2200,무료,무료,100000,150,5,150,5,0,37.6687411,127.0778095
망원동 노외 공영주차장(구),마포구 망원동 478-10,노외 주차장,시간제 주차장,02-300-5052,13,유료,900,1900,900,1900,0,0,무료,유료,50000,100,5,100,5,0,37.55955925,126.9066011
개화역 환승주차장(시),강서구 개화동 663-0,노외 주차장,시간제 주차장,02-2663-6449,387,유료,0,2400,0,2400,0,2400,무료,무료,65000,100,5,100,5,0,37.57645065,126.7985426
신대방역노외(시),관악구 신림동 498-0,노외 주차장,시간제 주차장,02-858-6417,60,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,0,37.4869656,126.9130705
구로디지털단지역(상)(시),관악구 신림동 1677-5,노외 주차장,시간제 주차장,031-405-8808,33,유료,800,2100,800,2100,800,2100,무료,무료,100000,150,5,150,5,0,37.48481135,126.9032339
학여울역 환승주차장(시),강남구 대치동 514-1,노외 주차장,시간제 주차장,02-569-7741,182,유료,500,100,500,100,500,100,무료,무료,100000,150,5,150,5,0,37.49705092,127.0723954
일원동(시),강남구 일원동 711-1,노외 주차장,시간제 주차장,,21,유료,900,1900,900,1500,0,0,무료,유료,30000,50,5,50,5,0,37.49134485,127.0884278
일원터널(시),강남구 일원동 722-2,노외 주차장,시간제 주차장,02-2290-6478,11,유료,0,2400,0,2400,0,2400,무료,무료,50000,100,5,100,5,0,37.48280832,127.0787552
창동역(서)(시),도봉구 창동 330-0,노외 주차장,시간제 주차장,02-2648-8292,124,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,0,37.65237042,127.0456768
송천동공영주차장(구),강북구 미아동 439-138,노외 주차장,시간제 주차장,02-944-3039,59,유료,0,2400,0,2400,0,2400,무료,무료,60000,150,5,150,5,10000,37.61458475,127.0251644
수유일공원공영주차장(구),강북구 수유동 605-407,노외 주차장,시간제 주차장,02-944-3042,91,유료,0,2400,0,2400,0,2400,무료,무료,100000,200,5,200,5,10000,37.63061186,127.0174307
미아동공영주차장(구),강북구 미아동 222-100,노외 주차장,시간제 주차장,02-944-3048,155,유료,0,2400,0,2400,0,2400,무료,무료,80000,150,5,150,5,10000,37.6285679,127.0223596
수유동쌈지마당공영주차장(구),강북구 수유동 612-6,노외 주차장,시간제 주차장,010-2977-0759,19,유료,0,2400,0,2400,0,2400,무료,무료,150000,250,5,250,5,15000,37.63207449,127.0236192
당곡중학교공영 (지하주차장)(구),관악구 봉천동 682-0,노외 주차장,시간제 + 거주자 주차장,02-2081-2675,159,유료,0,2400,0,2400,0,2400,무료,무료,0,50,5,50,5,0,37.49190539,126.9330035
석계역(시),노원구 월계동 50-9,노외 주차장,시간제 주차장,02-2648-8292,73,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,0,37.61548758,127.0623719
새서울주차장(시흥)(시),금천구 시흥동 886-14,노외 주차장,시간제 주차장,010-8701-4904,122,유료,700,2000,700,2000,700,2000,무료,무료,82500,1000,30,200,10,10000,37.45328014,126.902969
한마음주차장(구),양천구 목동 914-5,노외 주차장,시간제 주차장,070-7119-2575,426,유료,0,2400,0,2400,0,2400,무료,무료,70000,150,5,150,5,0,37.53067739,126.8778804
적선동 주차장(시),종로구 적선동 140-0,노외 주차장,시간제 + 버스전용 주차장,02-2264-4895,19,유료,900,1900,900,1900,900,1900,무료,무료,,500,5,500,5,,37.57449014,126.9741859
해군본부앞(시),영등포구 신길동 812-0,노상 주차장,시간제 주차장,031-903-3345,22,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0,37.50428868,126.9209787
연신중학교지하공동주차장(구),은평구 불광동 400-4,노외 주차장,시간제 주차장,,137,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.6232864,126.9250857
구청앞(구),강북구 수유동 191-1 ,노상 주차장,시간제 + 거주자 주차장,,20,유료,900,1900,900,1500,0,0,무료,무료,100000,250,5,250,5,15000,37.63912471,127.0256368
청계산근린광장(구),서초구 원지동 355-1,노외 주차장,시간제 주차장,02-577-1055,89,유료,900,1800,900,1800,900,1800,무료,무료,0,200,10,200,10,6000,37.44649791,127.0561579
강일동공영주차장(구),강동구 강일동 292-2,노외 주차장,시간제 주차장,02-478-6147,81,유료,0,2400,0,2400,0,2400,무료,무료,80000,150,5,150,5,0,37.56645809,127.1722653
답십리 부품상가 노상(구),동대문구 답십리동 959-10 ,노상 주차장,시간제 주차장,,72,유료,900,1900,900,1500,0,0,무료,유료,120000,500,10,500,10,36000,37.56600543,127.0607694
번동 햇살 주차장(구),강북구 번동 148-380,노외 주차장,시간제 주차장,02-944-3044,187,유료,0,2400,0,2400,0,2400,무료,무료,60000,150,5,150,5,10000,37.62509512,127.0334319
봉수대공영주차장(구),중랑구 신내동 12-2,노외 주차장,시간제 주차장,02-438-8271,31,유료,800,1700,0,0,0,0,유료,유료,0,150,5,150,5,3000,37.61638404,127.1123001
시설관리공단 청사 주차장(구),양천구 목동 919-5,노외 주차장,시간제 주차장,02-2644-1386,22,유료,900,1730,0,0,0,0,유료,유료,70000,150,5,150,5,9000,37.53034734,126.8713663
양천사회단체봉사센터(구),양천구 목동 905-29,노외 주차장,시간제 주차장,02-2646-9055,20,유료,900,1900,0,0,0,0,유료,유료,70000,300,10,300,10,0,37.53187194,126.875464
목동타운홀(구),양천구 목동 905-21,노외 주차장,시간제 주차장,02-2651-3730,25,유료,900,1900,0,0,0,0,유료,유료,70000,300,10,300,10,0,37.53292894,126.8768775
마천동3공영주차장(구),송파구 마천동 128-4,노외 주차장,시간제 주차장,02-430-6790,47,유료,0,2400,0,2400,0,2400,무료,무료,75000,100,5,100,5,0,37.49615427,127.1498486
문정 공영주차장(구),송파구 문정동 2-5,노외 주차장,시간제 주차장,02-407-1500,101,유료,600,2100,600,2100,600,2100,무료,무료,50000,100,5,100,5,0,37.49122464,127.1346929
대림노외(시),구로구 구로동 120-5,노외 주차장,시간제 주차장,032-872-7078,93,유료,900,1900,900,1900,900,1900,무료,무료,100000,150,5,150,5,,37.4928472,126.8943315
도봉산역 환승주차장(시),도봉구 도봉동 288-19,노외 주차장,시간제 주차장,02)2290-6047 ,364,유료,0,2400,0,2400,0,2400,무료,무료,65000,100,5,100,5,0,37.68972069,127.0448386
수서역남 환승주차장(시),강남구 수서동 727-0,노외 주차장,시간제 주차장,02-2226-6404,81,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0,37.4868589,127.1011147
신촌역동측광장공영주차장(구),서대문구 대현동 121-9,노외 주차장,시간제 + 버스전용 주차장,02-360-8540~1,26,유료,0,2400,0,2400,0,2400,무료,무료,350000,350,5,350,5,0,37.55933566,126.9427449
남부골목 전통시장 고객주차장(구),강서구 화곡동 797-7,노외 주차장,시간제 주차장,02-2646-5656,17,유료,1000,2000,1000,2000,0,0,무료,유료,60000,250,5,250,5,0,37.53231129,126.8608566
까치산 전통시장 고객주차장(구),강서구 화곡동 342-16,노외 주차장,시간제 주차장,02-2606-4500,19,유료,1000,2000,1000,2000,0,0,무료,유료,60000,250,5,250,5,0,37.53154144,126.847861
송화골목 전통시장 고객주차장(구),강서구 내발산동 720-4,노외 주차장,시간제 주차장,02-2696-5225,24,유료,1000,2100,1000,2100,0,0,무료,유료,60000,250,5,250,5,0,37.54910323,126.8346531
가로공원길지하 주차장(구),강서구 화곡동 662-15,노외 주차장,시간제 주차장,02-2699-0802,501,유료,700,2300,900,1500,0,0,무료,유료,60000,100,5,100,5,5000,37.53758251,126.8393482
동대문주차장(시),중구 신당동 251-7,노외 주차장,시간제 주차장,02)2254-4901 ,1098,유료,0,2400,0,2400,0,2400,무료,무료,180000,400,5,400,5,0,37.56729802,127.0114499
큰마을길(구),강북구 미아동 309-14 ,노상 주차장,시간제 + 거주자 주차장,02-944-3025,43,유료,900,1900,900,1500,0,0,무료,무료,100000,200,5,200,5,10000,37.62349437,127.024808
교육청길(구),강북구 미아동 137-19 ,노상 주차장,시간제 + 거주자 주차장,02-944-3025,93,유료,900,1900,900,1500,0,0,무료,무료,100000,200,5,200,5,10000,37.62002022,127.0294668
신문로 노외주차장(시),종로구 신문로1가 58-36,노외 주차장,시간제 주차장,02-720-0964,17,유료,900,1900,900,1900,900,1900,무료,무료,0,500,5,500,5,0,37.57107424,126.9731594
서린노외(글로벌센터)주차장(시),종로구 서린동 63-0,노외 주차장,시간제 주차장,02-720-9862,45,유료,900,1800,0,0,0,0,유료,유료,200000,400,5,400,5,0,37.56983402,126.9815059
독립문고가밑(시),서대문구 영천동 59-0,노상 주차장,시간제 주차장,02-2663-6209,11,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0,37.57153876,126.9596823
용답제2(평면)(구),성동구 용답동 182-10,노외 주차장,시간제 주차장,02-3394-7078,141,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,15000,37.56328524,127.056283
신교공영(구),종로구 신교동 66-0,노외 주차장,시간제 + 거주자 주차장,02-2236-0052,158,유료,0,2400,0,2400,0,2400,무료,무료,0,150,5,150,5,0,37.58411794,126.9698478
오류1동 텃골주차장(구),구로구 오류동 6-11,노외 주차장,시간제 주차장,,84,유료,0,2400,0,2400,0,2400,무료,무료,65000,100,5,100,5,0,37.4954652,126.8392484
천왕역 광역환승센터(시),구로구 오류동 174-10,노외 주차장,시간제 주차장,02)2290-6343,330,유료,0,2400,0,2400,0,2400,무료,무료,65000,100,5,100,5,0,37.48728845,126.8391832
파리공원(시),양천구 목동 906-1,노상 주차장,시간제 주차장,,42,유료,900,1900,900,1500,0,0,무료,유료,0,150,5,150,5,0,37.53392954,126.8763589
중곡시장주차장(구),광진구 중곡동 221-6,노외 주차장,시간제 + 거주자 주차장,,19,유료,900,1900,900,1900,900,1900,무료,무료,0,250,5,0,0,0,37.56387377,127.0819848
매바위공영주차장(구),은평구 응암동 747-8,노외 주차장,시간제 주차장,02-376-6538,80,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.58652245,126.9210871
