주차장명,지역구,주소,위도,경도,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금
삼각지역(구),용산구 , 한강로1가 138-0,37.53451621,126.9737305,노상 주차장,시간제 주차장,011-309-3162,12,유료,1130,2130,1130,1730,0,0,무료,유료,0,250,5,250,5,0
충신교회(구),용산구 , 이촌동 302-31,37.52025271,126.9672674,노상 주차장,시간제 주차장,010-9057-0978,23,유료,1100,2100,1100,1700,0,0,무료,유료,0,250,5,250,5,0
한강쇼핑(구),용산구 , 이촌동 301-5,37.52066136,126.9713519,노상 주차장,시간제 주차장,010-6339-6431,15,유료,1000,2000,1000,1600,0,0,무료,유료,0,250,5,250,5,0
용산등기소(시),용산구 , 문배동 12-1,37.53700981,126.9696668,노상 주차장,시간제 주차장,02-2663-6209,15,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0
효창공원2(구),용산구 , 효창동 255-1,37.54338354,126.9590231,노상 주차장,시간제 주차장,02-712-7758,83,유료,800,1800,800,1400,0,0,무료,유료,0,250,5,250,5,0
효창공원1(구),용산구 , 효창동 3-151,37.54591127,126.9594874,노상 주차장,시간제 주차장,010-5249-2009,60,유료,800,1800,800,1400,0,0,무료,유료,0,250,5,250,5,0
한강로2가동(구),용산구 , 한강로2가 412-0,37.52947024,126.9695842,노상 주차장,시간제 주차장,,12,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0
이태원1동공영(구),용산구 , 이태원동 22-36,37.53084609,126.9958322,노상 주차장,시간제 주차장,,11,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0
서계동공영주차장(구),용산구 , 서계동 276-5,37.55163663,126.9643958,노외 주차장,시간제 주차장,,36,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0
신창공영주차장(구),용산구 , 신창동 53-1,37.5353106,126.9552132,노외 주차장,시간제 주차장,02-711-1924,110,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0
용문동주차장(구),용산구 , 도원동 4-5,37.53894931,126.9575677,노외 주차장,시간제 주차장,02-749-5314,41,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0
용산전자상가3(구),용산구 , 한강로3가 19-2,37.53258192,126.9603249,노외 주차장,시간제 주차장,02-707-3195,167,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0
용산전자상가5(구),용산구 , 한강로3가 2-1,37.53381412,126.9634154,노외 주차장,시간제 주차장,02-707-3164,42,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0
용산전자상가2(구),용산구 , 한강로3가 14-1,37.53266756,126.9630887,노외 주차장,시간제 주차장,02-707-3149,196,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0
용산전자상가1(구),용산구 , 한강로3가 12-0,37.53204956,126.96478,노외 주차장,시간제 주차장,02-707-3105,202,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0
한남유수지공영주차장(구),용산구 , 한남동 522-44,37.5298673,127.0074007,노외 주차장,시간제 주차장,02-749-9631,85,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,0
이태원2동 공영주차장(구),용산구 , 이태원동 227-9,37.54036639,126.9926584,노외 주차장,시간제 주차장,02-796-3472,112,유료,0,2400,0,2400,0,2400,무료,무료,160000,250,5,250,5,0
한강진역공영주차장(시),용산구 , 한남동 728-27,37.53952175,127.0025796,노외 주차장,시간제 주차장,02-795-6406,180,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0
용산주차빌딩(시),용산구 , 한강로2가 12-9,37.53436379,126.9654182,노외 주차장,시간제 주차장,02-2290-6014,565,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0
용산2가소월주차장(구),용산구 , 용산동2가 11-0,37.54621474,126.9855822,노외 주차장,시간제 주차장,02-749-5314,56,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0
충현동 제1거주자우선주차장(구),서대문구,구 충정로2가 78-13,37.56518547,126.9646069,노외 주차장,시간제 + 거주자 주차장,02-360-8542~3,63,유료,1000,1900,1000,1900,1000,1900,무료,무료,0,50,5,50,5,0
공덕1-1 공영주차장(구),마포구 , 공덕동 11-243,37.54738044,126.9609133,노외 주차장,시간제 + 거주자 주차장,02-300-5041,81,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0
마포유수지(시),마포구 , 마포동 36-1,37.53890027,126.9426686,노외 주차장,시간제 + 버스전용 주차장,02-711-8851,508,유료,0,2400,0,2400,0,2400,무료,무료,130000,250,5,250,5,0
미근동노외(시),서대문구,구 미근동 267-3,37.56225368,126.9683494,노외 주차장,시간제 주차장,02)313-6449,27,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0
상암1 공영주차장(구),마포구 , 상암동 1621-0,37.57727445,126.8972079,노외 주차장,시간제 주차장,02-373-5401,141,유료,0,2400,0,2400,0,2400,무료,무료,100000,200,5,200,5,0
망원1-1 공영주차장(구),마포구 , 망원동 418-39,37.55602414,126.9000466,노외 주차장,시간제 + 거주자 주차장,02-300-5041,68,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0
염리 공영주차장(구),마포구 , 염리동 174-3,37.54199792,126.9452373,노외 주차장,시간제 주차장,02-300-5052,135,유료,0,2400,0,2400,0,2400,무료,무료,170000,250,5,250,5,0
성산2-1 공영주차장(구),마포구 , 성산동 199-0,37.56479289,126.9067217,노외 주차장,시간제 + 거주자 주차장,02-300-5041,59,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0
망원2-1 공영주차장(구),마포구 , 망원동 428-5,37.55778757,126.9015162,노외 주차장,시간제 + 거주자 주차장,02-300-5041,62,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0
한서 공영주차장(구),마포구 , 염리동 24-170,37.552871,126.9493333,노외 주차장,시간제 + 거주자 주차장,02-300-5041,113,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0
홍은 1동 제4 공영 주차장(구),서대문구,구 홍은동 11-23,37.60142195,126.9489426,노외 주차장,시간제 + 거주자 주차장,,105,유료,1000,1900,1000,1900,1000,1900,무료,무료,0,50,5,50,5,0
창천중교 공영주차장(구),마포구 , 노고산동 33-1,37.55473789,126.9394374,노외 주차장,시간제 주차장,02-300-5052,280,유료,0,2400,0,2400,0,2400,무료,무료,80000,200,5,200,5,0
도화 공영주차장(구),마포구 , 도화동 557-0,37.54155295,126.9499337,노외 주차장,시간제 주차장,02-300-5052,65,유료,0,2400,0,2400,0,2400,무료,무료,170000,250,5,250,5,0
