업소 명,업종 명,업태 명,주소,위도,경도,X (N),Y (E),전화번호,지역구,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
라오찌에연남점,일반음식점,중국식, 동교로 265 1층 (연남동) ,37.56336609,126.925275,451544.7924,193398.7904,,마포구,,,,,,,,,,,,,,,451544.7924,193398.7904,,804.0261512,358.5587527,391.5202348,665.0837683,821.79519,1116.006225,1575.604301,1940.94119,2579.402972,2928.167616,3186.023872,3588.125517,3890.738302,4150.871028,,
대도식당,일반음식점,한식, 마포대로 19 지1층 14호 (마포동 신화빌딩) ,37.53903163,126.9443219,448843.0816,195079.7891,027149772,마포구,,,,,,,,,,,,,,,448843.0816,195079.7891,,3920.414758,3362.977892,2973.225676,2601.293288,2378.305475,2066.022406,1611.069125,1272.100914,737.6475229,700.3040611,790.4528975,995.6677744,1202.862537,1486.144909,,
굴다리식당,일반음식점,한식, 도화길 44-2 (도화동) ,37.54153924,126.9506837,449121.0519,195642.1218,027037267,마포구,,,,,,,,,,,,,,,449121.0519,195642.1218,,4084.155789,3536.779438,3161.285163,2800.238408,2554.380224,2219.16433,1754.296388,1375.769904,733.2671128,381.8148889,223.2754779,395.8806372,665.5402996,959.4504576,,
광남수사,일반음식점,일식, 마포대로8안길 18 (공덕동 지상1층지하1층) ,37.5468783,126.954505,449713.3885,195980.0813,027155747,마포구,,,,,,,,,,,,,,,449713.3885,195980.0813,,3967.966561,3448.555201,3103.863209,2773.089025,2517.389313,2183.763561,1761.98542,1411.63162,918.9322704,604.382887,470.8064578,602.3380368,839.0315836,1033.768017,,
덴덴치킨,일반음식점,호프(소주방), 마포대로8길 9 (공덕동) ,37.54662219,126.9539393,449684.9915,195930.0873,01066920422,마포구,,,,,,,,,,,,,,,449684.9915,195930.0873,,3943.365232,3421.179487,3073.677278,2740.138338,2484.582038,2149.933656,1723.653774,1369.609457,865.6130728,546.9834114,418.6424364,581.2493159,832.2908032,1040.274469,,
셰프의 범선(마포공덕점),일반음식점,일식, 마포대로8길 9 (공덕동 영명빌딩 B1층) ,37.54662219,126.9539393,449684.9915,195930.0873,,마포구,,,,,,,,,,,,,,,449684.9915,195930.0873,,3943.365232,3421.179487,3073.677278,2740.138338,2484.582038,2149.933656,1723.653774,1369.609457,865.6130728,546.9834114,418.6424364,581.2493159,832.2908032,1040.274469,,
메이탄,일반음식점,중국식, 마포대로24길 4 2층 203204호 (아현동 공덕자이아파트) ,37.55415241,126.9578957,450520.5021,196280.0454,01085100638,마포구,,,,,,,,,,,,,,,450520.5021,196280.0454,,3846.763428,3388.855514,3105.040806,2837.549187,2593.188545,2299.953195,1994.539001,1749.795011,1531.53259,1365.917375,1319.019601,1427.349901,1590.887538,1683.362271,,
미래,일반음식점,한식, 마포대로 144 (공덕동 태영빌딩 지하1층) ,37.54700054,126.9537581,449726.987,195914.0892,027185292,마포구,,,,,,,,,,,,,,,449726.987,195914.0892,,3906.056648,3385.279848,3039.36674,2707.563328,2451.902668,2117.930152,1695.022796,1344.263734,855.9046859,552.9112142,446.0726737,625.5342304,877.1279276,1083.370283,,
국보,일반음식점,한식, 마포대로14길 20 지상1층 (공덕동) ,37.54821622,126.9567448,449861.7726,196178.0576,0207110088,마포구,,,,,,,,,,,,,,,449861.7726,196178.0576,,4053.083309,3547.097181,3215.74646,2898.21641,2642.864142,2315.274542,1915.487733,1583.548667,1142.398089,848.8980768,711.8281617,760.9493452,937.6652705,1072.732903,,
장원,일반음식점,한식, 마포대로 186-9 1층 (공덕동) ,37.55069916,126.9561685,450137.3431,196127.2637,,마포구,,,,,,,,,,,,,,,450137.3431,196127.2637,,3871.880886,3380.690097,3064.803007,2764.010063,2511.04483,2193.838916,1827.734343,1528.928525,1194.165716,976.8043895,908.3897026,1027.398309,1217.289872,1349.04308,,
서대문김치찜마포점,일반음식점,한식, 마포대로14가길 20 (공덕동 1층) ,37.55023797,126.9565037,450086.1486,196156.8602,027061308,마포구,,,,,,,,,,,,,,,450086.1486,196156.8602,,3922.324392,3428.786012,3110.335839,2806.625545,2553.104417,2233.851561,1861.206422,1555.502208,1197.943222,963.031152,878.7993586,979.5589167,1163.021888,1291.057679,,
능이네능이버섯백숙,일반음식점,한식, 마포대로 180-13 (공덕동 1층) ,37.55012608,126.9560602,450073.7499,196117.6649,027118163,마포구,,,,,,,,,,,,,,,450073.7499,196117.6649,,3894.030941,3398.459873,3078.144853,2772.659688,2518.85645,2198.590027,1823.364116,1515.869453,1157.188524,925.7008644,848.1293629,963.2198094,1155.529102,1292.366926,,
쉐프의부대찌개(망원역점),일반음식점,한식, 동교로9길 49 (망원동 리치힐12층) ,37.55583693,126.909239,450710.4817,191981.3601,,마포구,,,,,,,,,,,,,,,450710.4817,191981.3601,,1460.604663,1332.325266,1351.064729,1494.399146,1719.93905,2003.327391,2366.254176,2710.134037,3289.528662,3682.10076,3960.616916,4359.483049,4652.504197,4943.250162,,
진평925,일반음식점,한식, 망원로 87 2층 (망원동) ,37.55794303,126.9063799,450944.4567,191728.9904,01090361688,마포구,,,,,,,,,,,,,,,450944.4567,191728.9904,,1425.873896,1432.034073,1536.522914,1737.851042,1977.734995,2279.522819,2665.119327,3018.006908,3609.360173,4001.746311,4280.478167,4681.686913,4976.650034,5266.242569,,
이대조뼈다귀,일반음식점,한식, 동교로 200 (동교동) ,37.55776051,126.9231258,450922.859,193208.4132,023249797,마포구,,,,,,,,,,,,,,,450922.859,193208.4132,,1158.216333,617.9545616,263.9460867,260.3992626,511.7763026,840.3363533,1282.669255,1659.795958,2295.622218,2676.052454,2950.119136,3358.387885,3661.258324,3939.678768,,
냉면&amp;칼국수전문Since1966율촌,일반음식점,호프(소주방), 와우산로 100 (서교동지하1층) ,37.5528457,126.9247288,450377.3174,193349.5963,,마포구,,,,,,,,,,,,,,,450377.3174,193349.5963,,1715.295613,1181.405756,813.2252796,518.9393361,533.8288158,667.3874962,961.5560922,1302.387956,1896.608588,2288.176942,2566.825663,2970.447873,3268.085749,3555.497994,,
동보성,일반음식점,중국식, 양화로19길 16 (동교동 1층) ,37.55826935,126.92418,450979.253,193301.602,023375959,마포구,,,,,,,,,,,,,,,450979.253,193301.602,,1151.728564,598.1540534,211.9833458,190.2487501,445.2820223,781.8038551,1236.286812,1615.08492,2255.221471,2631.381892,2903.472439,3311.692863,3615.121337,3890.973628,,
최고집,일반음식점,한식, 월드컵북로2길 25 1층 (동교동) ,37.55647321,126.922104,450780.0743,193118.024,0112372802,마포구,,,,,,,,,,,,,,,450780.0743,193118.024,,1257.332313,741.6845248,423.9431219,362.6714131,581.8638282,883.2807566,1296.502274,1666.842586,2291.68677,2677.836325,2954.461864,3361.880671,3663.243496,3945.621983,,
지호한방삼계탕,일반음식점,한식, 독막로 229 2층 (신수동) ,37.54731481,126.9394136,449762.5832,194646.641,,마포구,,,,,,,,,,,,,,,449762.5832,194646.641,,2932.988153,2378.649605,1995.048858,1627.887677,1389.881595,1063.992585,600.0348302,263.4299121,461.5055261,853.8116365,1132.540751,1535.114753,1833.079293,2120.156009,,
샤브향(마포광흥창역점),일반음식점,한식, 토정로 193 (구수동 2층일부) ,37.54583706,126.9325619,449599.0007,194041.1135,,마포구,,,,,,,,,,,,,,,449599.0007,194041.1135,,2717.078177,2163.658561,1772.937645,1407.095025,1229.444457,995.6308266,706.1556923,703.2357239,1029.832601,1406.330065,1675.825417,2054.918029,2336.366593,2630.196904,,
서강8경율도,일반음식점,일식, 토정로 128 6층 (상수동) ,37.54493892,126.9253387,449499.8113,193402.7899,023340070,마포구,,,,,,,,,,,,,,,449499.8113,193402.7899,,2565.328986,2050.09423,1691.413948,1384.70978,1314.350847,1236.640723,1175.050303,1308.709362,1669.952017,2036.875214,2299.367109,2663.264103,2932.709814,3226.7785,,
신흥부전,일반음식점,한식, 월드컵북로44길 30-5 (상암동) ,37.57657028,126.8957107,453012.6353,190788.703,,마포구,,,,,,,,,,,,,,,453012.6353,190788.703,,2191.743987,2703.438735,3063.615617,3420.758645,3668.653162,4005.956752,4467.517319,4846.476379,5487.674041,5861.523191,6131.191179,6538.737984,6842.535679,7113.815989,,
훌랄라치킨카페&amp;천족,일반음식점,기타(일반음식점), 월드컵북로48길 54 (상암동 1층) ,37.57773493,126.8963567,453141.8214,190845.8961,,마포구,,,,,,,,,,,,,,,453141.8214,190845.8961,,2207.248471,2730.771153,3097.902997,3459.125231,3704.428501,4040.752314,4504.356661,4883.097736,5525.526127,5896.393345,6164.382404,6571.297901,6875.108597,7144.090877,,
칠프로(7%)칠백식당,일반음식점,한식, 토정로32길 4 (용강동) ,37.54107003,126.9412834,449069.4574,194811.4213,027112482,마포구,,,,,,,,,,,,,,,449069.4574,194811.4213,,3578.890696,3021.2183,2630.514798,2258.333308,2040.08679,1734.90029,1289.549684,975.4586161,573.2461184,730.9202399,924.7444324,1227.317982,1474.75901,1766.671105,,
구자춘참치,일반음식점,한식, 토정로32길 16 (토정동 1층 일부) ,37.54013984,126.9405826,448966.2685,194749.4287,01091894076,마포구,,,,,,,,,,,,,,,448966.2685,194749.4287,,3627.996487,3070.513772,2678.898447,2306.948521,2095.633405,1798.840982,1363.463782,1066.197669,693.3707568,838.9833137,1017.209149,1296.930534,1530.545338,1819.405008,,
명가원설농탕,일반음식점,한식, 월드컵북로 396 (상암동 누리꿈스퀘어 지1층(B1042호B1046호)) ,37.57944137,126.8903225,453331.8011,190313.1599,,마포구,,,,,,,,,,,,,,,453331.8011,190313.1599,,2762.357229,3276.152158,3635.767897,3991.874752,4240.386952,4577.849301,5038.838516,5417.800779,6058.541947,6433.194508,6703.212758,7110.858098,7414.639427,7686.265303,,
리미니월드컵점,일반음식점,경양식, 월드컵로 240 (성산동 월드컵경기장 2층 일부) ,37.5682897,126.8972708,452093.5337,190925.4866,023068176,마포구,,,,,,,,,,,,,,,452093.5337,190925.4866,,1796.249851,2192.70555,2493.06618,2813.921374,3069.575803,3404.362012,3845.90775,4220.379431,4847.467922,5233.49173,5509.713992,5917.41052,6219.020719,6500.685496,,
(주)이랜드파크(로운샤브샤브),일반음식점,한식, 신촌로 94 4층 (노고산동 그랜드플라자) ,37.55499311,126.9359986,450614.892,194345.4771,,마포구,,,,,,,,,,,,,,,450614.892,194345.4771,,2119.321968,1586.254293,1237.397422,919.693392,666.4034474,364.9148958,362.6736294,645.9815945,1263.200369,1601.838466,1859.164319,2262.209146,2565.295317,2829.141513,,
로운샤브샤브,일반음식점,한식, 양화로 153 (동교동 토로스쇼핑타워 지1층일부) ,37.55649519,126.9226336,450782.474,193164.8184,023383900,마포구,,,,,,,,,,,,,,,450782.474,193164.8184,,1270.760907,745.6110995,409.8043892,317.3131805,535.0745049,838.1483615,1254.8732,1626.422604,2253.225221,2638.59909,2914.90198,3322.52361,3624.161651,3905.977623,,
다사랑치킨신촌점,일반음식점,정종/대포집(선술집), 연세로9길 10-1 (창천동) ,37.55862243,126.9361766,451017.6489,194361.4751,0203235597,서대문구,,,,,,,,,,,,,,,451017.6489,194361.4751,,1900.77725,1411.778144,1127.095824,905.7684546,702.9270592,570.1389958,765.1843362,1024.138342,1602.502388,1906.908718,2145.831851,2536.735853,2835.284959,3083.470451,,
(주)캘리스코 사보텐 현대신촌점,일반음식점,일식, 신촌로 83 (창천동 현대백화점 10층 전문식당가) ,37.55608144,126.9358437,450735.679,194331.8787,07075120271,서대문구,,,,,,,,,,,,,,,450735.679,194331.8787,,2033.272821,1509.103481,1174.121016,878.5758217,633.553094,378.6301811,481.8480947,763.0282861,1371.136692,1700.936303,1953.602649,2353.935103,2656.169042,2915.948977,,
푸드엠파이어 야끼스타,일반음식점,한식, 연세로 50 3층 (신촌동 세브란스병원본관) ,37.56380482,126.9429316,451592.3874,194958.6036,0222278033,서대문구,,,,,,,,,,,,,,,451592.3874,194958.6036,,2272.902956,1918.803831,1759.915454,1652.783753,1498.03378,1397.990208,1489.592703,1609.910095,2014.838476,2201.133313,2372.415322,2703.364447,2972.409514,3168.671958,,
율도참치,일반음식점,한식, 연세로4길 12 (창천동외 1필지) ,37.55700507,126.9377443,450838.0681,194499.8586,0203926565,서대문구,,,,,,,,,,,,,,,450838.0681,194499.8586,,2112.360253,1609.203841,1300.007977,1035.080591,802.065077,573.6881259,615.6118826,822.2040062,1380.939588,1680.599442,1919.145973,2310.55457,2609.49094,2859.146858,,
유성한우촌,일반음식점,한식, 북아현로 68 (북아현동) ,37.56325145,126.9550836,451530.394,196032.0751,023653389,서대문구,,,,,,,,,,,,,,,451530.394,196032.0751,,3343.740956,2990.850712,2806.806019,2646.694184,2449.892429,2254.993307,2148.514119,2077.859452,2173.819179,2168.790034,2218.311763,2416.56566,2612.525531,2721.668968,,
원조신촌설넝탕,일반음식점,한식, 성산로 494-30 (대신동) ,37.56060732,126.9413767,451237.6253,194821.0201,023933001,서대문구,,,,,,,,,,,,,,,451237.6253,194821.0201,,2227.898879,1801.683014,1575.208347,1400.868632,1210.878607,1058.777673,1110.95345,1234.767812,1675.669596,1896.790707,2091.973931,2447.727384,2730.23427,2947.870816,,
무진장수산,일반음식점,생선회, 통일로 421 (홍제동(지상12층)) ,37.58683206,126.9459801,454147.7138,195229.3712,023963004,서대문구,,,,,,,,,,,,,,,454147.7138,195229.3712,,3323.082374,3421.176687,3565.729802,3710.540438,3698.627818,3767.633601,4001.6655,4172.727431,4569.792227,4708.082612,4832.71428,5098.402622,5322.725129,5452.464131,,
영화반점,일반음식점,중국식, 북아현로2길 5 (북아현동(지상1층)) ,37.55864618,126.9567614,451019.2487,196180.0574,023620567,서대문구,,,,,,,,,,,,,,,451019.2487,196180.0574,,,,,,,,,,,,,,,,,
육정성,일반음식점,한식, 연희맛로 15  (연희동)1~2층 ,37.56664447,126.9291112,451908.3535,193737.9498,023231109,서대문구,,,,,,,,,,,,,,,451908.3535,193737.9498,,,,,,,,,,,,,,,,,
연대북문 우리집,일반음식점,까페, 연희로26길 23 (연희동) ,37.57299193,126.9369658,452612.2782,194432.2667,01076705274,서대문구,,,,,,,,,,,,,,,452612.2782,194432.2667,,,,,,,,,,,,,,,,,
어바웃샤브 서대문점,일반음식점,정종/대포집(선술집), 충정로 71 (충정로2가) ,37.56503177,126.9656905,451727.5729,196969.1629,0203639806,서대문구,,,,,,,,,,,,,,,451727.5729,196969.1629,,,,,,,,,,,,,,,,,
신촌차돌구이,일반음식점,한식, 연세로2가길 17 (창천동) ,37.5567382,126.937405,450808.4713,194469.8622,023922255,서대문구,,,,,,,,,,,,,,,450808.4713,194469.8622,,,,,,,,,,,,,,,,,
신원당감자탕,일반음식점,분식, 서소문로 63 (미근동) ,37.56190422,126.9682091,451380.4101,197191.5363,023133505,서대문구,,,,,,,,,,,,,,,451380.4101,197191.5363,,,,,,,,,,,,,,,,,
시미즈,일반음식점,통닭(치킨), 충정로 71-1 (충정로2가) ,37.56516152,126.9656995,451741.9714,196969.9628,023133732,서대문구,,,,,,,,,,,,,,,451741.9714,196969.9628,,,,,,,,,,,,,,,,,
시골칼국수,일반음식점,한식, 충정로5길 2 (충정로3가 2층) ,37.56273556,126.9641115,451472.8002,196829.5796,,서대문구,,,,,,,,,,,,,,,451472.8002,196829.5796,,,,,,,,,,,,,,,,,
선은가,일반음식점,한식, 연희맛로 14 (연희동) ,37.56643206,126.9294781,451884.756,193770.3459,023254748,서대문구,,,,,,,,,,,,,,,451884.756,193770.3459,,,,,,,,,,,,,,,,,
서대문족발,일반음식점,한식, 통일로 107-13 (미근동지하1층지상1~2층) ,37.56443757,126.967289,451661.58,197110.346,023125580,서대문구,,,,,,,,,,,,,,,451661.58,197110.346,,,,,,,,,,,,,,,,,
샤브앤샐러드바연희직영점,일반음식점,한식, 연희맛로 28 (연희동) ,37.56727961,126.9305232,451978.746,193862.7349,0231430000,서대문구,,,,,,,,,,,,,,,451978.746,193862.7349,,,,,,,,,,,,,,,,,
사조미가,일반음식점,한식, 통일로 107-39 2층 (충정로2가) ,37.56419937,126.966121,451635.1828,197007.1584,023621500,서대문구,,,,,,,,,,,,,,,451635.1828,197007.1584,,,,,,,,,,,,,,,,,
사랑채,일반음식점,한식, 수색로2길 8 (남가좌동) ,37.56918051,126.9163178,452190.7233,192608.0851,023084492,서대문구,,,,,,,,,,,,,,,452190.7233,192608.0851,,,,,,,,,,,,,,,,,
본가서대문족발,일반음식점,한식, 충정로 59  (충정로2가 서대문디오빌)101호 ,37.56413415,126.9649303,451627.9835,196901.971,,서대문구,,,,,,,,,,,,,,,451627.9835,196901.971,,,,,,,,,,,,,,,,,
본가 백반 뷔페,일반음식점,한식, 세검정로 11 지하1층 (홍은동) ,37.59209947,126.942602,454732.4512,194931.4069,,서대문구,,,,,,,,,,,,,,,454732.4512,194931.4069,,,,,,,,,,,,,,,,,
무안갯벌낙지,일반음식점,한식, 응암로1길 3 (북가좌동) ,37.5809584,126.9114954,453498.1833,192183.336,,서대문구,,,,,,,,,,,,,,,453498.1833,192183.336,,,,,,,,,,,,,,,,,
무교동낙지마을,일반음식점,한식, 모래내로 285 (홍은동(지상1층)) ,37.57774852,126.9294131,453140.6216,193765.5465,0203747502,서대문구,,,,,,,,,,,,,,,453140.6216,193765.5465,,,,,,,,,,,,,,,,,
무교동낙지(신촌점),일반음식점,한식, 신촌로 87-4 (창천동외1필지) ,37.5557501,126.9362741,450698.883,194369.8741,023241655,서대문구,,,,,,,,,,,,,,,450698.883,194369.8741,,,,,,,,,,,,,,,,,
만리장성,일반음식점,중국식, 통일로 392 (홍제동(지상2층)) ,37.58493396,126.9486307,453936.9364,195463.3432,023793600,서대문구,,,,,,,,,,,,,,,453936.9364,195463.3432,,,,,,,,,,,,,,,,,
