주차장명,지역구,주소,위도,경도,주차장 종류명,운영구분명,전화번호,주차 면(주차 가능 차량 수),유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
독립문고가밑(시),서대문구,구 영천동 59-0,37.57153876,126.9596823,노상 주차장,시간제 주차장,02-2663-6209,11,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0,452449.9063,196438.7198,,3751.67366,3523.019117,3433.850323,3360.568755,3207.695098,3080.258705,3062.5221,3043.72714,3178.638753,3167.54076,3199.579471,3360.058967,3523.888974,3590.582451,,
서강대역 환승 공영주차장(구),마포구 , 신수동 93-35,37.55102716,126.9364628,노외 주차장,시간제 주차장,02-300-5052,98,유료,1000,2000,1000,2000,1000,2000,무료,무료,50000,150,5,150,5,0,450174.7377,194386.1922,,2452.36673,1900.688036,1522.175072,1161.447846,915.1666886,582.0609362,115.1600166,264.7525104,906.4083284,1281.310344,1554.826456,1963.103004,2266.071199,2544.635829,,
한남동공영주차장(구),용산구 , 한남동 685-46,37.53496611,127.0001918,노외 주차장,시간제 주차장,02-749-3633,250,유료,0,2400,0,2400,0,2400,무료,무료,180000,250,5,250,5,0,448390.4501,200016.9501,,8130.644686,7644.64101,7323.928636,7009.377361,6753.955185,6424.981932,6010.087519,5654.859701,5087.357069,4697.771468,4423.124488,4044.234675,3776.105049,3483.13992,,
이촌한강공원주차장(시),용산구 , 이촌동 376-0,37.52096923,126.9597975,노외 주차장,시간제 주차장,02-533-2883,150,유료,900,2300,900,2300,0,0,무료,유료,50000,1000,30,200,10,10000,446837.896,196446.4958,,6345.314092,5787.655528,5396.966045,5024.777094,4804.703153,4491.888123,4033.323415,3679.706291,3068.455307,2794.379163,2609.83312,2312.319393,2098.371468,2027.192941,,
북아현 가구단지(구),서대문구,구 북아현동 915-0,37.55829286,126.9603554,노외 주차장,시간제 주차장,,15,유료,1000,2100,1000,2100,0,0,무료,유료,240000,250,5,250,5,0,450979.8989,196497.5549,,3907.952349,3497.906101,3257.231938,3033.342679,2804.789352,2545.921374,2310.995484,2123.101188,1998.37635,1865.156235,1827.258954,1921.83296,2061.843432,2119.42444,,
연희사러가쇼핑센터앞(구),서대문구,구 연희동 133-16 ,37.56702513,126.9298922,노상 주차장,시간제 주차장,,31,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0,451950.5457,193806.9732,,1089.566802,879.5574133,949.4502653,1120.666149,1175.29066,1368.85352,1767.003964,2085.952046,2685.79714,2990.73549,3224.502555,3608.894994,3903.791318,4141.615073,,
인왕시장앞(구),서대문구,구 홍제동 295-3 ,37.59145574,126.9438465,노상 주차장,시간제 주차장,,64,유료,1000,1900,1000,1500,0,0,무료,유료,0,250,5,0,0,0,454660.9452,195041.2577,,3553.874538,3725.526516,3912.72651,4093.213973,4106.080052,4203.953925,4467.634945,4659.316587,5080.356816,5231.782855,5363.489632,5635.93787,5863.572361,5996.414924,,
유진상가앞(구),서대문구,구 홍제동 294-1 ,37.59157158,126.9436372,노상 주차장,시간제 주차장,,64,유료,1000,1900,1000,1500,0,0,무료,유료,0,250,5,0,0,0,454673.8118,195022.7828,,3551.600999,3726.531739,3915.750349,4098.037287,4112.262462,4211.799322,4477.319406,4670.428158,5093.363838,5246.045489,5378.542824,5651.891271,5880.070384,6013.573638,,
망원 유료 주차장(구),마포구 , 망원동 394-79 ,37.55459028,126.9011057,노상 주차장,시간제 주차장,,87,유료,900,1900,0,0,0,0,유료,유료,0,150,5,150,5,0,450572.858,191262.6429,,2018.513309,2014.029393,2076.074768,2224.84993,2446.043827,2718.660213,3057.258741,3385.094441,3935.271272,4326.06585,4602.637748,4993.213141,5279.152953,5572.447322,,
경남 공영주차장(구),마포구 , 서교동 376-5 ,37.55399981,126.9190031,노상 주차장,시간제 주차장,,22,유료,1100,2100,1100,2100,0,0,무료,유료,0,250,5,250,5,0,450505.8169,192843.8303,,1471.551834,1031.035158,788.8405946,727.4115166,898.9381297,1140.722855,1480.918902,1824.084099,2411.474122,2803.793266,3082.531943,3484.239919,3780.010686,4068.996681,,
홍대서측 노상 공영주차장(구),마포구 , 서교동 366-19,37.55114502,126.9213372,노상 주차장,시간제 주차장,,168,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0,450188.8281,193049.7856,,1813.793313,1328.973988,1014.481012,809.3394903,878.7986366,1015.285604,1255.242446,1561.78427,2110.516878,2502.445881,2780.157719,3175.634676,3466.540023,3758.203475,,
동교동 노상 공영주차장(구),마포구 , 서교동 332-1,37.55675242,126.9269787,노상 주차장,시간제 주차장,,67,유료,1100,2100,1100,2100,1100,2100,무료,무료,120000,400,5,400,5,0,450810.7139,193548.7212,,1428.003886,870.3222925,480.158195,110.0957766,154.2267894,484.2906983,937.3169915,1316.196704,1956.954243,2332.360394,2604.352525,3012.572022,3316.003448,3591.938883,,
새물결 노상 공영주차장(구),마포구 , 동교동 165-1,37.55645301,126.924933,노상 주차장,시간제 주차장,,17,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0,450777.6289,193367.9613,,1359.905123,809.0459959,424.0800659,143.8258743,331.9360828,640.5069585,1071.603493,1447.410416,2081.418329,2463.046456,2737.770132,3145.946109,3448.538574,3727.943053,,
용강동 노상 공영주차장(구),마포구 , 용강동 122-15,37.5396973,126.9437561,노상 주차장,시간제 주차장,,54,유료,1200,2200,1200,1800,0,0,무료,유료,0,250,5,250,5,0,448916.9843,195029.8371,,3831.338591,3273.925037,2884.249573,2512.351782,2289.132588,1976.874537,1522.262946,1185.003778,664.9517263,667.3809064,788.2142577,1027.139221,1249.761737,1536.980954,,
청기와 유료 주차장(구),마포구 , 서교동 479-4 ,37.55775244,126.9135971,노상 주차장,시간제 주차장,,84,유료,900,1900,0,0,0,0,유료,유료,0,250,5,250,5,0,450922.6949,192366.5866,,1106.413142,899.6065274,918.1111749,1099.884209,1340.900055,1647.993885,2048.683002,2410.547838,3018.890138,3409.519593,3687.860025,4092.77211,4391.302123,4677.795537,,
연남 유료 주차장(구),마포구 , 연남동 228-23 ,37.56207319,126.9244254,노상 주차장,시간제 주차장,,78,유료,1000,2100,1000,2100,0,0,무료,유료,0,250,5,250,5,0,451401.3716,193323.6172,,832.3413128,305.4183084,230.5614664,537.4206862,726.2944626,1042.20693,1508.204523,1880.894076,2523.39598,2881.770402,3144.726048,3549.69739,3853.184737,4118.548685,,
합정 노상 공영주차장(구),마포구 , 서교동 394-22,37.5489203,126.9164528,노상 주차장,시간제 주차장,,29,유료,1200,2300,1200,2300,1200,2300,무료,무료,0,400,5,400,5,0,449942.3096,192618.0073,,2032.079336,1631.326287,1391.799164,1266.39084,1368.368191,1510.480358,1713.996753,1986.272896,2479.291986,2864.524479,3137.249092,3518.847262,3798.991502,4093.068036,,
당인 유료 주차장(구),마포구 , 합정동 362-1 ,37.54749691,126.918125,노상 주차장,시간제 주차장,,47,유료,1100,2100,0,0,0,0,유료,유료,0,300,5,300,5,0,449784.2173,192765.6206,,2188.255375,1755.332774,1480.162196,1302.962004,1365.549201,1459.985761,1608.039512,1852.413388,2314.131261,2694.812469,2964.639894,3340.279053,3616.343526,3910.598168,,
삼각지역(구),용산구 , 한강로1가 138-0,37.53451621,126.9737305,노상 주차장,시간제 주차장,011-309-3162,12,유료,1130,2130,1130,1730,0,0,무료,유료,0,250,5,250,5,0,448340.8463,197678.4554,,6147.748181,5621.079826,5265.341215,4920.347542,4666.816012,4329.07656,3880.004287,3505.397436,2887.40862,2496.632222,2218.555242,1813.508756,1517.770177,1228.461364,,
충신교회(구),용산구 , 이촌동 302-31,37.52025271,126.9672674,노상 주차장,시간제 주차장,010-9057-0978,23,유료,1100,2100,1100,1700,0,0,무료,유료,0,250,5,250,5,0,446758.1238,197106.7336,,6815.298293,6259.586614,5872.66018,5502.003446,5270.981104,4947.093918,4481.644994,4114.037129,3480.213398,3161.829098,2939.858396,2586.832828,2323.710341,2171.886683,,
한강쇼핑(구),용산구 , 이촌동 301-5,37.52066136,126.9713519,노상 주차장,시간제 주차장,010-6339-6431,15,유료,1000,2000,1000,1600,0,0,무료,유료,0,250,5,250,5,0,446803.3562,197467.7804,,7019.85593,6466.831003,6083.373992,5714.928161,5478.307464,5149.382423,4682.47467,4309.359249,3668.663434,3330.298145,3091.954995,2717.124816,2435.75487,2247.174964,,
용산등기소(시),용산구 , 문배동 12-1,37.53700981,126.9696668,노상 주차장,시간제 주차장,02-2663-6209,15,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0,448617.6837,197319.4186,,5694.528815,5168.485828,4813.820487,4470.208475,4216.306015,3878.750336,3431.72383,3058.386514,2446.162887,2054.168182,1775.501048,1374.177073,1085.660522,792.0826984,,
효창공원2(구),용산구 , 효창동 255-1,37.54338354,126.9590231,노상 주차장,시간제 주차장,02-712-7758,83,유료,800,1800,800,1400,0,0,무료,유료,0,250,5,250,5,0,449325.3709,196379.1303,,4517.858208,3993.503741,3642.321349,3303.668491,3048.721675,2712.264189,2274.354182,1908.284976,1333.023745,947.7131865,682.8104156,401.447783,408.0958311,499.9601038,,
효창공원1(구),용산구 , 효창동 3-151,37.54591127,126.9594874,노상 주차장,시간제 주차장,010-5249-2009,60,유료,800,1800,800,1400,0,0,무료,유료,0,250,5,250,5,0,449605.8705,196420.2784,,4394.089013,3882.422377,3544.286709,3218.769937,2963.012364,2631.168078,2214.170722,1864.707651,1349.730577,994.5818938,771.9547409,623.1241365,690.746445,758.3924646,,
한강로2가동(구),용산구 , 한강로2가 412-0,37.52947024,126.9695842,노상 주차장,시간제 주차장,,12,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0,447780.9763,197311.8486,,6218.616832,5674.651117,5301.497073,4941.206086,4694.812593,4358.845883,3894.941982,3516.143769,2874.245515,2504.902802,2243.373249,1843.736701,1544.357858,1313.107686,,
이태원1동공영(구),용산구 , 이태원동 22-36,37.53084609,126.9958322,노상 주차장,시간제 주차장,,11,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,0,0,0,447933.2358,199631.6562,,8007.192062,7502.156975,7164.836707,6835.198506,6579.571443,6245.058469,5812.098045,5445.63873,4849.290411,4456.729455,4178.313962,3782.675732,3497.068335,3203.3061,,
서계동공영주차장(구),용산구 , 서계동 276-5,37.55163663,126.9643958,노외 주차장,시간제 주차장,,36,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0,450241.0729,196854.2287,,4484.136647,4021.040395,3728.701718,3448.75644,3200.072395,2894.452492,2550.965366,2262.162393,1901.789939,1624.187279,1468.578245,1391.760421,1431.850426,1409.325071,,
신창공영주차장(구),용산구 , 신창동 53-1,37.5353106,126.9552132,노외 주차장,시간제 주차장,02-711-1924,110,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0,448429.6226,196042.0468,,4857.972,4305.979372,3924.34402,3557.63436,3318.231145,2987.712989,2520.728761,2146.738603,1506.078711,1180.397641,971.5523444,684.2252136,553.5275652,678.9105087,,
용문동주차장(구),용산구 , 도원동 4-5,37.53894931,126.9575677,노외 주차장,시간제 주차장,02-749-5314,41,유료,0,2400,0,2400,0,2400,무료,무료,98000,150,5,150,5,0,448833.3351,196250.3037,,4725.543077,4183.806272,3814.073942,3457.627405,3208.533122,2871.326442,2410.610742,2031.841794,1396.346943,1015.694759,749.0537848,351.824123,100.6192211,316.7764733,,
용산전자상가3(구),용산구 , 한강로3가 19-2,37.53258192,126.9603249,노외 주차장,시간제 주차장,02-707-3195,167,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,448126.6023,196493.6564,,5389.354849,4839.333931,4459.855146,4094.678116,3853.105852,3520.591139,3053.911322,2677.60549,2034.427131,1687.842037,1449.875486,1087.340707,831.069687,738.5059879,,
용산전자상가5(구),용산구 , 한강로3가 2-1,37.53381412,126.9634154,노외 주차장,시간제 주차장,02-707-3164,42,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,448263.2359,196766.8369,,5490.966829,4946.919532,4574.06954,4214.350945,3967.493101,3631.337423,3167.78514,2788.905357,2147.613213,1777.160005,1516.600428,1120.185336,825.5445109,631.2027086,,
용산전자상가2(구),용산구 , 한강로3가 14-1,37.53266756,126.9630887,노외 주차장,시간제 주차장,02-707-3149,196,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,448136.0068,196737.9149,,5556.728253,5010.157451,4634.515424,4272.408318,4027.538741,3692.59915,3227.402134,2849.113052,2205.990161,1843.64833,1590.147871,1202.546638,916.4744993,745.6976528,,
용산전자상가1(구),용산구 , 한강로3가 12-0,37.53204956,126.96478,노외 주차장,시간제 주차장,02-707-3105,202,유료,800,2200,800,2200,800,2200,무료,무료,130000,250,5,250,5,0,448067.3664,196887.3601,,5712.486609,5166.998341,4792.462194,4431.213825,4185.587147,3850.136992,3385.514123,3006.933537,2364.329212,1998.486423,1741.224883,1347.819556,1054.951773,856.8281978,,
한남유수지공영주차장(구),용산구 , 한남동 522-44,37.5298673,127.0074007,노외 주차장,시간제 주차장,02-749-9631,85,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,0,447824.6314,200654.0711,,8954.749007,8461.343685,8133.523702,7811.914836,7556.170851,7224.245992,6799.81113,6438.113075,5852.930243,5460.882344,5183.372287,4792.780458,4511.934592,4217.707424,,
이태원2동 공영주차장(구),용산구 , 이태원동 227-9,37.54036639,126.9926584,노외 주차장,시간제 주차장,02-796-3472,112,유료,0,2400,0,2400,0,2400,무료,무료,160000,250,5,250,5,0,448989.7761,199351.2431,,7273.124363,6797.556631,6486.895155,6182.521536,5928.172722,5604.178948,5204.009331,4859.53745,4321.052976,3938.648327,3671.329055,3315.628164,3072.297106,2788.372854,,
한강진역공영주차장(시),용산구 , 한남동 728-27,37.53952175,127.0025796,노외 주차장,시간제 주차장,02-795-6406,180,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0,448896.0192,200227.9547,,8115.818178,7649.987666,7346.596248,7048.102989,6794.525874,6473.0778,6078.445122,5736.932565,5202.41985,4820.328998,4552.991466,4195.675773,3948.56257,3662.297726,,
용산주차빌딩(시),용산구 , 한강로2가 12-9,37.53436379,126.9654182,노외 주차장,시간제 주차장,02-2290-6014,565,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,0,448324.169,196943.8567,,5582.775633,5042.762003,4674.128455,4318.013928,4068.801544,3731.484572,3270.995544,2892.208667,2255.484546,1876.047586,1607.221506,1201.775486,898.8257577,657.0516274,,
용산2가소월주차장(구),용산구 , 용산동2가 11-0,37.54621474,126.9855822,노외 주차장,시간제 주차장,02-749-5314,56,유료,0,2400,0,2400,0,2400,무료,무료,140000,150,5,150,5,0,449638.8748,198726.0383,,6445.490926,5987.242369,5693.00644,5405.425256,5154.093827,4839.755887,4465.403996,4141.160363,3655.718628,3292.883763,3044.549446,2738.897027,2547.239332,2295.810101,,
충현동 제1거주자우선주차장(구),서대문구,구 충정로2가 78-13,37.56518547,126.9646069,노외 주차장,시간제 + 거주자 주차장,02-360-8542~3,63,유료,1000,1900,1000,1900,1000,1900,무료,무료,0,50,5,50,5,0,451744.6655,196873.4464,,4162.04008,3838.906177,3669.801948,3514.919332,3316.892527,3113.140599,2970.810261,2850.073243,2816.461211,2711.014125,2679.407955,2760.315831,2877.019671,2899.456967,,
공덕1-1 공영주차장(구),마포구 , 공덕동 11-243,37.54738044,126.9609133,노외 주차장,시간제 + 거주자 주차장,02-300-5041,81,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0,449768.8598,196546.3397,,4417.319299,3917.186452,3590.279956,3275.895678,3020.75871,2694.200125,2295.048882,1960.127419,1487.508442,1154.012741,953.0545707,829.1746493,880.6345394,907.4947829,,
마포유수지(시),마포구 , 마포동 36-1,37.53890027,126.9426686,노외 주차장,시간제 + 버스전용 주차장,02-711-8851,508,유료,0,2400,0,2400,0,2400,무료,무료,130000,250,5,250,5,0,448828.5912,194933.683,,3845.988835,3288.313585,2897.210027,2525.02772,2308.854148,2004.919487,1559.201783,1238.770498,764.477075,796.4581251,917.0032306,1140.500088,1349.63831,1632.469228,,
미근동노외(시),서대문구,구 미근동 267-3,37.56225368,126.9683494,노외 주차장,시간제 주차장,02)313-6449,27,유료,900,1900,900,1500,0,0,무료,유료,0,250,5,250,5,0,451419.1882,197203.9416,,4520.249219,4163.857798,3964.199257,3776.42987,3561.849277,3326.971744,3125.668722,2952.604257,2816.114212,2648.686448,2570.11868,2583.450968,2655.655098,2636.01789,,
상암1 공영주차장(구),마포구 , 상암동 1621-0,37.57727445,126.8972079,노외 주차장,시간제 주차장,02-373-5401,141,유료,0,2400,0,2400,0,2400,무료,무료,100000,200,5,200,5,0,453090.636,190921.0239,,2116.414999,2639.934836,3007.342102,3368.817956,3613.925792,3950.177165,4413.891689,4792.607381,5435.101912,5805.779387,6073.682235,6480.56626,6784.374756,7053.27413,,
망원1-1 공영주차장(구),마포구 , 망원동 418-39,37.55602414,126.9000466,노외 주차장,시간제 + 거주자 주차장,02-300-5041,68,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0,450732.0814,191169.2401,,1983.61648,2030.206614,2126.071692,2301.476823,2531.104129,2815.435499,3170.211642,3506.022517,4067.895737,4459.647796,4737.083859,5130.587315,5418.856066,5711.555046,,
염리 공영주차장(구),마포구 , 염리동 174-3,37.54199792,126.9452373,노외 주차장,시간제 주차장,02-300-5052,135,유료,0,2400,0,2400,0,2400,무료,무료,170000,250,5,250,5,0,449172.2205,195160.8766,,3715.909398,3161.397896,2776.918179,2408.422406,2172.534231,1846.535982,1380.997867,1016.986156,418.2717262,389.007656,560.5130092,879.0012473,1144.66345,1438.876058,,
성산2-1 공영주차장(구),마포구 , 성산동 199-0,37.56479289,126.9067217,노외 주차장,시간제 + 거주자 주차장,02-300-5041,59,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0,451704.5989,191759.9429,,994.2904409,1294.856723,1575.288104,1893.325848,2148.954182,2483.978219,2927.615189,3303.204419,3933.537709,4317.841586,4593.311365,5001.32847,5303.513134,5583.836972,,
망원2-1 공영주차장(구),마포구 , 망원동 428-5,37.55778757,126.9015162,노외 주차장,시간제 + 거주자 주차장,02-300-5041,62,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0,450927.6432,191299.2825,,1761.317711,1839.21435,1964.243911,2166.933108,2405.132452,2702.765528,3078.473518,3425.196683,4004.814802,4397.365245,4675.796361,5073.927645,5366.100413,5657.300396,,
한서 공영주차장(구),마포구 , 염리동 24-170,37.552871,126.9493333,노외 주차장,시간제 + 거주자 주차장,02-300-5041,113,유료,900,1800,0,0,0,0,무료,무료,0,1000,60,500,30,0,450378.6692,195523.4712,,3226.662585,2731.113015,2414.984313,2118.637455,1867.254152,1557.039885,1226.45518,987.3525288,917.4544701,938.1916719,1055.317069,1365.459334,1634.439268,1840.670088,,
홍은 1동 제4 공영 주차장(구),서대문구,구 홍은동 11-23,37.60142195,126.9489426,노외 주차장,시간제 + 거주자 주차장,,105,유료,1000,1900,1000,1900,1000,1900,무료,무료,0,50,5,50,5,0,455766.7083,195491.8799,,4700.718777,4904.999379,5103.121356,5287.240511,5298.779283,5389.906364,5638.722148,5812.80716,6200.35003,6322.633882,6432.339537,6675.244946,6882.314302,6988.148744,,
창천중교 공영주차장(구),마포구 , 노고산동 33-1,37.55473789,126.9394374,노외 주차장,시간제 주차장,02-300-5052,280,유료,0,2400,0,2400,0,2400,무료,무료,80000,200,5,200,5,0,450586.3668,194649.2773,,2377.21328,1858.29734,1524.575857,1220.148714,968.9632438,668.0787936,479.2882358,565.9721251,1090.451631,1388.467668,1629.690799,2024.036444,2324.342533,2578.379702,,
도화 공영주차장(구),마포구 , 도화동 557-0,37.54155295,126.9499337,노외 주차장,시간제 주차장,02-300-5052,65,유료,0,2400,0,2400,0,2400,무료,무료,170000,250,5,250,5,0,449122.6082,195575.8492,,4035.866693,3487.263989,3110.337383,2748.049916,2503.328747,2168.953751,1703.222601,1325.351795,681.8476895,349.6226301,246.5168688,462.1707256,729.6713773,1023.806112,,
