"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3020000","2001","0118","20060630","20010630","신라갈비찜","서울특별시 용산구 원효로 69 (원효로4가(지상1층))","서울특별시 용산구 원효로4가  127번지 2호  (지상1층)","3020000-101-1993-06605","한식","매운갈비찜","181.42","원효로제2동","상수도전용","02 7191290"
"3020000","2001","0012","20060630","20010630","청운숯불갈비","서울특별시 용산구 청파로 383-8 (서계동(지상12층))","서울특별시 용산구 서계동  223번지 18호  (지상12층)","3020000-101-1993-06902","한식","갈비탕","208.02","청파동","상수도전용","02 7112625"
"3020000","2001","0066","20060630","20010630","해미루 숙대점","서울특별시 용산구 한강대로 272-2 (남영동(지상1층))","서울특별시 용산구 남영동  82번지 1호  (지상1층)","3020000-101-1994-04676","한식","만두전골","107.92","남영동","상수도전용","02 7977227"
"3020000","2017","0008","20170831","20171013","한강오리","서울특별시 용산구 한강대로104길 53 (동자동(지상1층))","서울특별시 용산구 동자동  19번지 33호  (지상1층)","3020000-101-1994-04881","한식","생오리주물럭","130.68","남영동","상수도전용","02 3184006"
"3020000","2001","0085","20060630","20010630","서울회관","서울특별시 용산구 한강대로80길 11-49 (남영동 62-1 지상1층)","서울특별시 용산구 남영동  62번지 1호  ","3020000-101-1994-05867","한식","통통오겹살","334.59","남영동","상수도전용","02 7937766"
"3020000","2005","0110","20060630","20050725","한강회관","서울특별시 용산구 이촌로75길 10-3 (이촌동(지상2층))","서울특별시 용산구 이촌동  301번지 145호  (지상2층)","3020000-101-1994-06472","한식","한우불고기","187.61","이촌제1동","상수도전용","02 7939855"
"3020000","2009","0014","20091105","20091105","늘푸른가든","서울특별시 용산구 이태원로 227 (한남동(지상12층))","서울특별시 용산구 한남동  737번지 4호  (지상12층)","3020000-101-1995-00645","한식","갈비","245.27","한남동","상수도전용","02 7922077"
"3020000","2007","0161","20070718","20070718","풍년숯불갈비","서울특별시 용산구 새창로 130 (원효로2가(지상12층))","서울특별시 용산구 원효로2가  88번지 1호  (지상12층)","3020000-101-1995-04259","한식","돼지갈비","130.81","원효로제1동","상수도전용","02 7196530"
"3020000","2001","0139","20060630","20010630","이촌동 면옥","서울특별시 용산구 이촌로54길 17 (이촌동(지상1.2층))","서울특별시 용산구 이촌동  302번지 90호  (지상1.2층)","3020000-101-1995-05640","한식","냉면","378.94","이촌제1동","상수도전용","02 7967775"
"3020000","2010","0006","20100618","20100721","돈까스잔치","서울특별시 용산구 서빙고로 297 1층 (동빙고동)","서울특별시 용산구 동빙고동  94번지  1층","3020000-101-1995-05661","경양식","돈까스","119.01","서빙고동","상수도전용","02  790 3217"
"3020000","2017","0004","20170831","20171013","기찻길","서울특별시 용산구 한남대로21길 14 (한남동(지상2층))","서울특별시 용산구 한남동  657번지 201호  (지상2층)","3020000-101-1996-00443","한식","갈비살","115.92","한남동","상수도전용","02 7949592"
"3020000","2001","0033","20060630","20010630","일비노로소","서울특별시 용산구 두텁바위로60길 25 (후암동(지상1.2층))","서울특별시 용산구 후암동  340번지 5호  (지상1.2층)","3020000-101-1996-00550","경양식","카르파쵸","275.60","후암동","상수도전용","02754 0011"
"3020000","2001","0028","20060630","20010630","봉피양(용산)","서울특별시 용산구 한강대로40길 31 지상12층 (한강로2가)","서울특별시 용산구 한강로2가  77번지 1호  지상12층","3020000-101-1996-05528","한식","한우생등심","297.69","한강로동","상수도전용","02795 6446"
"3020000","2001","0130","20060630","20010630","괸당네(흑다돈)","서울특별시 용산구 한강대로80길 7 (남영동)","서울특별시 용산구 남영동  80번지 4호  ","3020000-101-1997-03873","한식","흑돼지삼겹살","177.00","남영동","상수도전용","02 7954175"
"3020000","2011","0002","20110707","20111110","솔마루","서울특별시 용산구 효창원로62길 16 1층 (효창동)","서울특별시 용산구 효창동  5번지 116호  ","3020000-101-1997-03931","한식","소고기모듬세트","228.60","효창동","상수도전용","02 7120708"
"3020000","2016","0002","20160831","20161219","담쟁이","서울특별시 용산구 한강대로76길 11-8 (남영동(지상1층))","서울특별시 용산구 남영동  100번지 4호  (지상1층)","3020000-101-1997-05296","기타","전복삼계탕","74.32","남영동","상수도전용","02 7981977"
"3020000","2011","0003","20110707","20111110","오메가3치킨영양삼계탕","서울특별시 용산구 이촌로64길 61 (이촌동)","서울특별시 용산구 이촌동  302번지 64호  ","3020000-101-1997-07546","한식","삼계탕","177.00","이촌제1동","상수도전용","02 7907555"
"3020000","2001","0091","20060630","20010630","남산한정식","서울특별시 용산구 회나무로44길 40 (이태원동(지하1층))","서울특별시 용산구 이태원동  243번지 42호  (지하1층)","3020000-101-1998-01805","한식","불고기","48.15","이태원제1동","상수도전용","02 7979835"
"3020000","2015","0010","20151012","20151211","봉추찜닭","서울특별시 용산구 청파로45길 13 (청파동3가(지상1층))","서울특별시 용산구 청파동3가  26번지 15호  (지상1층)","3020000-101-1998-03737","분식","찜닭","46.72","청파동","상수도전용","02 7176981"
"3020000","2003","0019","20060630","20030731","웨스턴차이나","서울특별시 용산구 독서당로 73 (한남동)","서울특별시 용산구 한남동  263번지 10호  ","3020000-101-1999-01245","중국식","딤섬","299.77","한남동","상수도전용","02 7956751"
"3020000","2014","0012","20141008","20141201","두바이(DUBAI)","서울특별시 용산구 이태원로 192 (이태원동(지상2층))","서울특별시 용산구 이태원동  127번지 2호  (지상2층)","3020000-101-1999-02231","경양식","양고기스테이크","231.00","이태원제1동","","02 7989277"
"3020000","2010","0007","20100618","20100721","이태원천상본점","서울특별시 용산구 이태원로 227 (한남동(지상1층))","서울특별시 용산구 한남동  737번지 4호  (지상1층)","3020000-101-1999-05341","한식","일식정식","81.00","한남동","상수도전용","02 7492224"
"3020000","2015","0009","20151012","20151211","장수갈비","서울특별시 용산구 후암로57길 3-2 (동자동)","서울특별시 용산구 동자동  10번지 3호  ","3020000-101-1999-06312","한식","돼지갈비","81.51","남영동","상수도전용","02 7710202"
"3020000","2001","0008","20060630","20010630","은성","서울특별시 용산구 한강대로84길 11-16 (남영동)","서울특별시 용산구 남영동  40번지 4호  ","3020000-101-1999-06589","한식","등심구이","83.13","남영동","상수도전용","02 7972855"
"3020000","2014","0002","20141008","20141201","황소마을","서울특별시 용산구 이태원로26길 8 12층 (이태원동)","서울특별시 용산구 이태원동  128번지 16호  12층","3020000-101-1999-06920","한식","낙곱전골","99.09","이태원제1동","상수도전용","02  795 6954"
"3020000","2001","0124","20060630","20010630","밥샵","서울특별시 용산구 청파로 112 (한강로3가나진상가15동1층12)","서울특별시 용산구 한강로3가  3번지 23호  나진상가15동1층12","3020000-101-2000-07294","기타","사골우거지탕","191.22","한강로동","상수도전용","02 7118933"
"3020000","2001","0067","20060630","20010630","모리모리","서울특별시 용산구 한강대로 281 (갈월동(지상1층))","서울특별시 용산구 갈월동  89번지 5호  (지상1층)","3020000-101-2000-07529","분식","돈까스","109.16","남영동","상수도전용","02 7021441"
"3020000","2007","0170","20070718","20070718","씨제이푸드빌(주)한쿡","서울특별시 용산구 남산공원길 126 (용산동2가 서울타워 전망1층)","서울특별시 용산구 용산동2가  1번지 3호  서울타워 전망1층","3020000-101-2000-07821","한식","한정식","397.78","용산2가동","","02 34559292"
"3020000","2002","0083","20060630","20021022","중일회관","서울특별시 용산구 이태원로 197 지상2층 (이태원동)","서울특별시 용산구 이태원동  124번지 4호  지상2층","3020000-101-2001-07673","한식","불고기","157.20","이태원제1동","상수도전용","02794 3392"
"3020000","2017","0007","20170831","20171013","천안문","서울특별시 용산구 한강대로88길 11-19 (남영동(지상1.2층))","서울특별시 용산구 남영동  13번지 1호  (지상1.2층)","3020000-101-2001-07941","중국식","짬뽕","134.77","남영동","상수도전용","02 7952504"
"3020000","2005","0117","20060630","20050725","원할머니보쌈 남영점","서울특별시 용산구 한강대로 254 (남영동(지상1층))","서울특별시 용산구 남영동  128번지  (지상1층)","3020000-101-2001-08004","한식","보쌈","165.00","남영동","상수도전용","02 7921318"
"3020000","2010","0001","20100219","20100428","횡성한우목장","서울특별시 용산구 효창원로48길 6 (용문동)","서울특별시 용산구 용문동  8번지 29호  ","3020000-101-2002-00008","한식","소갈비","139.90","용문동","상수도전용","02 7168592"
"3020000","2003","0060","20060630","20030731","에이치엘씨(유)","서울특별시 용산구 이태원로 179 해밀톤호텔 (본관) 2층 (이태원동)","서울특별시 용산구 이태원동  108번지 9호  해밀톤호텔 (본관)","3020000-101-2002-00062","중국식","사천스페셜","360.73","이태원제1동","상수도전용","02 7930802"
"3020000","2003","0060","20060630","20030731","홀리차우 이태원점","서울특별시 용산구 이태원로 179 해밀톤호텔 (본관) 2층 (이태원동)","서울특별시 용산구 이태원동  108번지 9호  해밀톤호텔 (본관)","3020000-101-2002-00062","중국식","사천스페셜","360.73","이태원제1동","상수도전용","02 7930802"
"3020000","2014","0004","20141008","20141201","산찬미","서울특별시 용산구 한강대로 264 (남영동(지상1층))","서울특별시 용산구 남영동  88번지 3호  (지상1층)","3020000-101-2002-00082","중국식","중국냉면","80.09","남영동","상수도전용","02  7974443"
"3020000","2016","0001","20160831","20161219","미성중국관","서울특별시 용산구 한강대로84길 8 (남영동(지상1층))","서울특별시 용산구 남영동  61번지 1호  (지상1층)","3020000-101-2003-00047","중국식","중식코스","67.87","남영동","상수도전용","02 7903034"
"3020000","2009","0010","20090925","20090720","소도노리","서울특별시 용산구 원효로 128 (원효로3가 51-37 지상1층)","서울특별시 용산구 원효로3가  51번지 37호  지상1층","3020000-101-2003-00264","한식","고기뷔페","202.78","원효로제2동","","02 7013363"
"3020000","2001","0129","20060630","20010630","서울역그릴","서울특별시 용산구 청파로 378 3층 302호 (동자동)","서울특별시 용산구 동자동  43번지 205호  3층 302호","3020000-101-2003-00276","경양식","스테이크","360.00","남영동","상수도전용","02 7548001"
"3020000","2009","0013","20090602","20090720","티원(T園)서울역점","서울특별시 용산구 청파로 378 3층 301호 (동자동)","서울특별시 용산구 동자동  43번지 205호  3층 301호","3020000-101-2003-00299","중국식","중식코스","746.87","남영동","상수도전용","02392 0987"
"3020000","2005","0104","20060630","20050725","한강집생태","서울특별시 용산구 백범로 400 (한강로1가 257-9 지상1층)","서울특별시 용산구 한강로1가  257번지 9호  ","3020000-101-2004-00005","한식","생태매운탕","126.00","한강로동","상수도전용","02  7167452"
"3020000","2015","0013","20151012","20151211","차돌집","서울특별시 용산구 녹사평대로40길 5 (이태원동 540 지상12층)","서울특별시 용산구 이태원동  540번지  ","3020000-101-2004-00010","식육(숯불구이)","차돌박이","91.14","이태원제1동","상수도전용","02  790 0789"
"3020000","2006","0149","20060630","20060630","서계마을","서울특별시 용산구 효창원로 276 (서계동)","서울특별시 용산구 서계동  260번지 1호  (지상2층)","3020000-101-2004-00128","한식","쌈밥정식","128.70","청파동","","02 7139007"
"3020000","2005","0116","20060630","20050725","댓잎갈비","서울특별시 용산구 보광로 1 (보광동)","서울특별시 용산구 보광동  123번지 2호  (지상12층)","3020000-101-2004-00253","한식","댓잎갈비","359.51","보광동","","02 7963355"
"3020000","2005","0105","20060630","20050725","이조설렁탕.함흥냉면","서울특별시 용산구 백범로99길 54 (한강로1가(지상1층))","서울특별시 용산구 한강로1가  253번지  (지상1층)","3020000-101-2004-00269","한식","냉면","141.90","한강로동","","02 7097065"
"3020000","2007","0160","20070718","20070718","할매보쌈애부대찌개","서울특별시 용산구 원효로41길 58 (원효로2가(지상1층))","서울특별시 용산구 원효로2가  91번지 11호  (지상1층)","3020000-101-2004-00286","한식","보쌈","130.91","원효로제1동","","02 7049236"
"3020000","2015","0001","20151012","20151211","남해","서울특별시 용산구 원효로41길 34 (원효로3가(지상12층))","서울특별시 용산구 원효로3가  46번지 5호  (지상12층)","3020000-101-2004-00313","일식","회초밥","119.93","원효로제2동","상수도전용","02 7038999"
"3020000","2009","0005","20090410","20090225","아이오유(I.O.U)","서울특별시 용산구 원효로1길 16 (청암동(지상12층))","서울특별시 용산구 청암동  164번지  (지상12층)","3020000-101-2005-00046","경양식","파스타","220.77","원효로제2동","","02  32751151"
"3020000","2001","0132","20060630","20010630","도마에","서울특별시 용산구 청파로45길 9 지상1층 (청파동3가)","서울특별시 용산구 청파동3가  24번지 44호  지상1층","3020000-101-2005-00133","한식","초밥 스시","97.69","청파동","","02  716 9996"
"3020000","2001","0135","20060630","20010630","팔보","서울특별시 용산구 원효로 70 (원효로4가 118-1 지상2층)","서울특별시 용산구 원효로4가  118번지 1호  지상2층","3020000-101-2005-00145","중국식","전가복","149.79","원효로제2동","","02 7157079"
"3020000","2001","0136","20060630","20010630","돌아가는삼각지","서울특별시 용산구 한강대로62길 26 (한강로1가 231-23 상가아파트 지상1층 2호4호)","서울특별시 용산구 한강로1가  231번지 23호  상가아파트 지상1층 2호4호","3020000-101-2005-00158","한식","버섯전골","1254.00","한강로동","","02 7909955"
"3020000","2001","0128","20060630","20010630","하노이의아침","서울특별시 용산구 후암로 107 (동자동(지상1층))","서울특별시 용산구 동자동  12번지  (지상1층)","3020000-101-2005-00174","기타","베트남쌀국수","165.00","남영동","","02 717 5310"
"3020000","2016","0006","20160831","20161219","길농원훈제바베큐","서울특별시 용산구 원효로 71 (원효로4가(지상1층))","서울특별시 용산구 원효로4가  125번지 1호  (지상1층)","3020000-101-2005-00181","호프/통닭","훈제오리","56.10","원효로제2동","",""
"3020000","2001","0140","20060630","20010630","알트스위스샬레","서울특별시 용산구 이태원로27길 38 (이태원동(지상2층))","서울특별시 용산구 이태원동  104번지 4호  (지상2층)","3020000-101-2005-00219","기타","스위스치즈퐁듀","156.13","이태원제1동","","02 7979664"
"3020000","2007","0169","20070718","20070718","씨제이푸드빌(주)엔그릴","서울특별시 용산구 남산공원길 126 (용산동2가 서울타워 전망5층)","서울특별시 용산구 용산동2가  1번지 3호  서울타워 전망5층","3020000-101-2005-00273","경양식","스테이크","21.50","용산2가동","","0221055727"
"3020000","2007","0171","20070718","20070718","씨제이푸드빌(주)더플레이스다이닝&BBIS","서울특별시 용산구 남산공원길 126 (용산동2가 서울타워 광장12층)","서울특별시 용산구 용산동2가  1번지 3호  서울타워 광장12층","3020000-101-2005-00274","경양식","파스타","658.51","용산2가동","","0234559220"
"3020000","2008","0007","20080808","20080829","설악칡냉면","서울특별시 용산구 임정로 93 (효창동(지상1층))","서울특별시 용산구 효창동  3번지 59호  (지상1층)","3020000-101-2006-00192","한식","냉면","72.60","효창동","","0232734886"
"3020000","2008","0003","20080627","20080829","정감어린","서울특별시 용산구 후암로 4 (후암동(지상234층))","서울특별시 용산구 후암동  255번지 1호  (지상234층)","3020000-101-2007-00003","한식","소갈비","380.00","후암동","","02754 4389"
"3020000","2015","0002","20151012","20151211","차이옌","서울특별시 용산구 이촌로88길 8 (이촌동 300-16 지상1층)","서울특별시 용산구 이촌동  300번지 16호  지상1층","3020000-101-2007-00041","중국식","중식코스","431.24","이촌제1동","","02  792 0872"
"3020000","2007","0071","20070904","20071012","마구로센","서울특별시 용산구 대사관로31길 24 (한남동(지상1층))","서울특별시 용산구 한남동  657번지 84호  (지상1층)","3020000-101-2007-00079","일식","생참치","139.50","한남동","","02  792 1110"
"3020000","2015","0015","20151012","20151211","So Wat (쏘왓)","서울특별시 용산구 녹사평대로40길 48 (이태원동(지하1층))","서울특별시 용산구 이태원동  457번지 1호  (지하1층)","3020000-101-2007-00086","경양식","태국음식","70.00","이태원제1동","","02  64067102"
"3020000","2001","0010","20060630","20010630","황해","서울특별시 용산구 한강대로88길 11-5 (남영동)","서울특별시 용산구 남영동  14번지 3호  ","3020000-101-2007-00110","한식","부대찌개","81.00","남영동","","02 7941491"
"3020000","2009","0002","20090210","20090225","방태산","서울특별시 용산구 이촌로18길 6 (이촌동(지상1층))","서울특별시 용산구 이촌동  205번지 6호  (지상1층)","3020000-101-2007-00121","한식","오리구이","388.80","이촌제1동","","02 7188118"
"3020000","2015","0013","20151012","20151211","차돌집Ⅱ","서울특별시 용산구 녹사평대로40길 25 (이태원동(지상12층))","서울특별시 용산구 이태원동  544번지  (지상12층)","3020000-101-2007-00157","한식","차돌박이","65.78","이태원제1동","",""
"3020000","2010","0013","20100618","20100721","마오","서울특별시 용산구 회나무로 57 (이태원동(지상4층))","서울특별시 용산구 이태원동  228번지 6호  (지상4층)","3020000-101-2008-00014","중국식","베이징덕","165.00","이태원제1동","","02 793 8845"
"3020000","2009","0001","20090210","20090225","아그라(Agra)","서울특별시 용산구 이태원로 153 (이태원동덕흥빌딩(지하1층))","서울특별시 용산구 이태원동  172번지 2호  덕흥빌딩(지하1층)","3020000-101-2008-00062","경양식","카레","159.89","이태원제1동","","070 82304320"
"3020000","2016","0013","20160831","20161219","한남북엇국","서울특별시 용산구 독서당로 65-7 지상1~3층지하1층 (한남동)","서울특별시 용산구 한남동  73번지 2호  지상123층지하1층","3020000-101-2008-00152","한식","북엇국","259.36","한남동","","02  22971988"
"3020000","2014","0007","20141008","20141201","고구려참숯구이","서울특별시 용산구 만리재로 192 (서계동외6필지(102103104호)지상1층)","서울특별시 용산구 서계동  223번지 55호  외6필지(102103104호)지상1층","3020000-101-2008-00190","한식","참숯갈비","138.78","청파동","","02 3920110"
"3020000","2014","0009","20141008","20141201","우리집","서울특별시 용산구 대사관로 40 (한남동(지상1층))","서울특별시 용산구 한남동  653번지 24호  (지상1층)","3020000-101-2009-00024","한식","갈비탕","113.52","한남동","","02 7961150"
"3020000","2010","0015","20100618","20100721","제이에스피(블리스)","서울특별시 용산구 이태원로 173-7 (이태원동 119-7 지상1층2층4층)","서울특별시 용산구 이태원동  119번지 7호  지상1층2층4층","3020000-101-2009-00027","경양식","스테이크","384.24","이태원제1동","","02 7171307"
"3020000","2016","0005","20160831","20161219","마구로","서울특별시 용산구 한강대로 271 (갈월동(지상2층))","서울특별시 용산구 갈월동  92번지 14호  (지상2층)","3020000-101-2010-00048","일식","생선회","138.98","남영동","","02  704 8006"
"3020000","2015","0004","20151012","20151211","미립","서울특별시 용산구 한강대로104길 38 (동자동(지상1층))","서울특별시 용산구 동자동  23번지 29호  (지상1층)","3020000-101-2010-00064","한식","양고기","57.87","남영동","","0237899873"
"3020000","2015","0001","20110707","20151211","마루한정식","서울특별시 용산구 백범로 341 (원효로1가지하1층(115~118호))","서울특별시 용산구 원효로1가  133번지 3호  지하1층(115~118호)","3020000-101-2010-00139","한식","한정식","223.86","원효로제1동","","02 7027003"
"3020000","2012","0004","20120910","20121128","서울진진바라","서울특별시 용산구 후암로 107 (동자동게이트웨이타워(지상23층))","서울특별시 용산구 동자동  12번지  게이트웨이타워(지상23층)","3020000-101-2010-00149","한식","한정식","955.67","남영동","","02 7778004"
"3020000","2011","0007","20110526","20111110","고인돌","서울특별시 용산구 장문로 23 (이태원동(지하2층))","서울특별시 용산구 이태원동  22번지 76호  (지하2층)","3020000-101-2010-00221","한식","양구이 갈비","1061.31","이태원제1동","","02 7979434"
"3020000","2011","0008","20110707","20111110","더함","서울특별시 용산구 청파로47길 52 2층 201203호 (청파동2가)","서울특별시 용산구 청파동2가  71번지 88호  2층 201호","3020000-101-2010-00282","한식","한정식","272.17","청파동","","02 7073692"
"3020000","2011","0008","20110707","20111110","더함","서울특별시 용산구 청파로47길 52 2층 201203호 (청파동2가)","서울특별시 용산구 청파동2가  71번지 88호  2층 201호","3020000-101-2010-00282","한식","한정식","272.17","청파동","","02 7073692"
"3020000","2012","0001","20120914","20121128","다채","서울특별시 용산구 녹사평대로 66 (동빙고동상가동2345호(지하3층))","서울특별시 용산구 동빙고동  316번지  상가동2345호(지하3층)","3020000-101-2011-00164","한식","쌈밥정식","193.69","서빙고동","","02 7929233"
"3020000","2016","0010","20160831","20161219","(주)어번그룹 바토스 이태원점","서울특별시 용산구 이태원로15길 1 (이태원동 181-8 지상2층 2호3호)","서울특별시 용산구 이태원동  181번지 8호  (지상2층)2호3호","3020000-101-2011-00249","경양식","멕시코음식","635.24","이태원제1동","","02 7978226"
"3020000","2012","0002","20120913","20121128","동천홍","서울특별시 용산구 두텁바위로 69 (후암동)","서울특별시 용산구 후암동  254번지 35호  (지하1층지상1층)","3020000-101-2011-00264","중국식","중식코스","289.80","후암동","","02 7797781"
"3020000","2017","0010","20170831","20171013","만나정생고기","서울특별시 용산구 한강대로52길 17-11 (한강로2가 지상1층)","서울특별시 용산구 한강로2가  28번지 2호  (지상1층)","3020000-101-2011-00294","한식","육계장칼국수","81.20","한강로동","","02 7924484"
"3020000","2015","0016","20151012","20151211","(주)에스와이에스홀딩스 이남장설렁탕 전자랜드점","서울특별시 용산구 청파로 74 (한강로3가 16-9외6필지 용산전자랜드 지상7층1호)","서울특별시 용산구 한강로3가  16번지 9호  외6필지 용산전자랜드(지상7층)1호","3020000-101-2012-00049","한식","설렁탕","226.41","한강로동","","02 7010088"
"3020000","2016","0011","20160831","20161219","(주)부다스벨리","서울특별시 용산구 녹사평대로40길 48 (이태원동 457-1 지상1층)","서울특별시 용산구 이태원동  457번지 1호  (지상1층)","3020000-101-2012-00134","경양식","태국음식","52.56","이태원제1동","","02 7969330"
"3020000","2016","0012","20160831","20161219","(주)부다스벨리","서울특별시 용산구 녹사평대로40길 48 (이태원동 457-1 지상2층)","서울특별시 용산구 이태원동  457번지 1호  (지상2층)","3020000-101-2012-00135","경양식","태국음식","83.49","이태원제1동","","02 7490903"
"3020000","2017","0002","20170831","20171013","한남오","서울특별시 용산구 독서당로 71 (한남동 261-5 청산빌딩 지상1층 102호)","서울특별시 용산구 한남동  261번지 5호  청산빌딩 지상1층 102호","3020000-101-2013-00152","한식","안동국밥","188.10","한남동","","02 7957890"
"3020000","2015","0011","20141008","20151211","기와","서울특별시 용산구 한강대로21나길 40 (한강로3가 40-712 지상1층)","서울특별시 용산구 한강로3가  40번지 712호  지상1층","3020000-101-2013-00201","한식","한정식","1306.17","한강로동","","02  710 7777"
"3020000","2014","0005","20141008","20141201","세우물 잔치","서울특별시 용산구 원효로 69-1 12층 (원효로4가)","서울특별시 용산구 원효로4가  125번지 2호  ","3020000-101-2013-00246","한식","낙지전복삼계탕","114.27","원효로제2동","","02 7172978"
"3020000","2016","0007","20160831","20161219","나주곰탕","서울특별시 용산구 한강대로 144 (한강로2가 93-3 지상1층)","서울특별시 용산구 한강로2가  93번지 3호  지상1층","3020000-101-2013-00270","한식","곰탕","159.67","한강로동","","02  794 5292"
"3020000","2014","0001","20141008","20141201","장사랑","서울특별시 용산구 이태원로 164-1 (이태원동 72-32 외2필지 지하1층)","서울특별시 용산구 이태원동  72번지 32호  외2필지 지하1층","3020000-101-2013-00340","한식","곤드레밥","193.43","이태원제1동","","02  790 4640"
"3020000","2015","0006","20151012","20151211","광포차","서울특별시 용산구 한강대로 54 12층 (한강로3가)","서울특별시 용산구 한강로3가  57번지  12층","3020000-101-2014-00070","한식","사시미","72.73","한강로동","",""
"3020000","2015","0006","20151012","20151211","광(히카리)","서울특별시 용산구 한강대로 54 12층 (한강로3가)","서울특별시 용산구 한강로3가  57번지  12층","3020000-101-2014-00070","한식","사시미","72.73","한강로동","",""
"3020000","2017","0001","20170831","20171013","샤브홀릭","서울특별시 용산구 장문로 98-1 2층 (보광동)","서울특별시 용산구 보광동  218번지  2층","3020000-101-2014-00098","한식","소고기샤브샤브","376.93","보광동","","02  790 8786"
"3020000","2016","0009","20160831","20161219","계절밥상 용산아이파크몰점","서울특별시 용산구 한강대로23길 55 7층 9-23호 (한강로3가 아이파크몰)","서울특별시 용산구 한강로3가  40번지 999호  아이파크몰 7층-9-23","3020000-101-2014-00203","한식","한식뷔페","693.47","한강로동","","02  20120700"
"3020000","2016","0004","20160831","20161219","메시야","서울특별시 용산구 한강대로 358 1층 (동자동)","서울특별시 용산구 동자동  14번지 132호  ","3020000-101-2014-00260","일식","김치돈까스","52.90","남영동","상수도전용","02  318 5235"
"3020000","2015","0011","20151012","20151211","턴(TURN)","서울특별시 용산구 소월로 62 4층 (후암동)","서울특별시 용산구 후암동  448번지 95호  ","3020000-101-2014-00330","경양식","돈까스","66.56","후암동","상수도전용",""
"3020000","2016","0014","20160831","20161219","단비","서울특별시 용산구 한남대로20길 21-12 1층 (한남동)","서울특별시 용산구 한남동  68번지 26호  ","3020000-101-2014-00362","한식","한정식","110.44","한남동","상수도전용",""
"3020000","2015","0005","20151012","20151211","계경순대국숙대입구역점","서울특별시 용산구 한강대로 306 1층 (갈월동)","서울특별시 용산구 갈월동  66번지 2호  1층","3020000-101-2014-00402","한식","순대국","100.00","남영동","상수도전용","02  37897547"
