업소명	소재지도로명	소재지지번		업태명	주된음식	행정동명	소재지전화번호
맥태와꼬치다	서울특별시 마포구 마포대로14길 8 (공덕동)	서울특별시 마포구 공덕동  105번지 77호  		한식	돼지왕갈비	공덕동	02 7111800
맥태와꼬치다	서울특별시 마포구 마포대로14길 8 (공덕동)	서울특별시 마포구 공덕동  105번지 77호  		한식		공덕동	02 7111800
남촌집	서울특별시 마포구 토정로35길 12 (용강동)	서울특별시 마포구 용강동  39번지 1호  		한식	주물럭	용강동	02 7159090
남촌집	서울특별시 마포구 토정로35길 12 (용강동)	서울특별시 마포구 용강동  39번지 1호  		한식	주물럭	용강동	02 7159090
신원복집식당	서울특별시 마포구 홍익로 29 2층동 (서교동)	서울특별시 마포구 서교동  354번지 2호 2층 		복어취급	복	서교동	02 3331977
신원복집식당	서울특별시 마포구 홍익로 29 2층동 (서교동)	서울특별시 마포구 서교동  354번지 2호 2층 		복어취급	복	서교동	02 3331977
청기와식당	서울특별시 마포구 월드컵로 105 (망원동1층)	서울특별시 마포구 망원동  484번지 1호  1층		한식	돼지갈비	망원제2동	02 3330166
청기와식당	서울특별시 마포구 월드컵로 105 (망원동1층)	서울특별시 마포구 망원동  484번지 1호  1층		한식	돼지갈비	망원제2동	02 3330166
석양집	서울특별시 마포구 토정로37길 9 (용강동 E동 9호)	서울특별시 마포구 용강동  39번지 1호  		한식	돼지갈비	용강동	02 7166847
석양집	서울특별시 마포구 토정로37길 9 (용강동 E동 9호)	서울특별시 마포구 용강동  39번지 1호  		한식	돼지갈비	용강동	02 7166847
마포원조주물럭집	서울특별시 마포구 토정로 316 (용강동 지상1~2층)	서울특별시 마포구 용강동  51번지 3호  		한식	주물럭	용강동	02 7183001
마포원조주물럭집	서울특별시 마포구 토정로 316 (용강동 지상1~2층)	서울특별시 마포구 용강동  51번지 3호  		한식	주물럭	용강동	02 7183001
나주곰탕&오우돈	서울특별시 마포구 신촌로18길 19 (노고산동 1층)	서울특별시 마포구 노고산동  57번지 34호  		한식	곰탕	대흥동	
양화정	서울특별시 마포구 월드컵로1길 17 1층 (합정동)	서울특별시 마포구 합정동  383번지 26호  		한식	돼지갈비	합정동	02 3235777
양화정	서울특별시 마포구 월드컵로1길 17 1층 (합정동)	서울특별시 마포구 합정동  383번지 26호  		한식	돼지갈비	합정동	02 3235777
신의주찹쌀순대	서울특별시 마포구 큰우물로 66 (용강동)	서울특별시 마포구 용강동  19번지 5호  		한식	순대국	용강동	02  32751780
신의주찹쌀순대	서울특별시 마포구 큰우물로 66 (용강동)	서울특별시 마포구 용강동  19번지 5호  		한식	순대국	용강동	02  32751780
마포나룻터	서울특별시 마포구 마포대로1길 16 (용강동 23층)	서울특별시 마포구 용강동  50번지 16호  		한식	두부전골	용강동	02  715 1255
마포나룻터	서울특별시 마포구 마포대로1길 16 (용강동 23층)	서울특별시 마포구 용강동  50번지 16호  		한식	두부전골	용강동	02  715 1255
김박사손칼국수	서울특별시 마포구 토정로 307 (용강동)	서울특별시 마포구 용강동  43번지 5호  		한식	칼국수	용강동	02 7142245
마포갈비집	서울특별시 마포구 토정로 315 (용강동)	서울특별시 마포구 용강동  40번지 5호  		한식	소갈비	용강동	02 7164393
마포갈비집	서울특별시 마포구 토정로 315 (용강동)	서울특별시 마포구 용강동  40번지 5호  		한식	소갈비	용강동	02 7164393
서교전집	서울특별시 마포구 잔다리로 134 (성산동 1층)	서울특별시 마포구 성산동  242번지 14호  		한식	대구탕	성산제1동	02  31428889
팔색 삼겹살	서울특별시 마포구 백범로 18 지층 (노고산동)	서울특별시 마포구 노고산동  107번지 111호  		한식	삼겹살	대흥동	02 7194848
팔색 삼겹살	서울특별시 마포구 백범로 18 지층 (노고산동)	서울특별시 마포구 노고산동  107번지 111호  		한식	삼겹살	대흥동	02 7194848
마포진짜원조최대포집	서울특별시 마포구 만리재로1길 3 (공덕동)	서울특별시 마포구 공덕동  255번지 5호  		한식	삼겹살돼지갈비갈매기살	공덕동	02 7196358
램랜드	서울특별시 마포구 토정로 255 1층 (용강동)	서울특별시 마포구 용강동  494번지 32호  		한식	양고기	용강동	02 7040223
램랜드	서울특별시 마포구 토정로 255 1층 (용강동)	서울특별시 마포구 용강동  494번지 32호  		한식	양고기	용강동	02 7040223
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	참치회	서교동	02 3344854
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	참치회	서교동	02 3344854
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	소갈비	서교동	02 3344854
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	소갈비	서교동	02 3344854
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	소갈비	서교동	02 3344854
장가네한우촌	서울특별시 마포구 양화로16길 10 (서교동)	서울특별시 마포구 서교동  371번지 4호  		한식	소갈비	서교동	02 3344854
용가	서울특별시 마포구 마포대로11길 7-6 (공덕동1~2층 232-16 1층)	서울특별시 마포구 공덕동  232번지 6호  1~2층 232-16 1층		중국식	팔보채전가복	공덕동	02 7021555
지중해참치	서울특별시 마포구 새창로 13 (도화동 2층)	서울특별시 마포구 도화동  25번지 2호  		일식	참치회	도화동	
지중해참치	서울특별시 마포구 새창로 13 (도화동 2층)	서울특별시 마포구 도화동  25번지 2호  		일식	참치회	도화동	
동경일식	서울특별시 마포구 월드컵북로1길 6 1층동 (서교동)	서울특별시 마포구 서교동  351번지 19호 1층 		일식	회정식	서교동	02 3380785
마포활어	서울특별시 마포구 삼개로5길 8 (도화동)	서울특별시 마포구 도화동  205번지 1호  		일식	회정식	도화동	02 7119292
마포활어	서울특별시 마포구 삼개로5길 8 (도화동)	서울특별시 마포구 도화동  205번지 1호  		일식	회정식	도화동	02 7119292
서교가든	서울특별시 마포구 동교로 120 1층동 (서교동)	서울특별시 마포구 서교동  466번지 1호 1층 		한식	등심	서교동	02 3248282
불이아	서울특별시 마포구 동교로 182-6 (동교동 1층)	서울특별시 마포구 동교동  161번지 14호  		중국식	샤브샤브	서교동	02  335 6889
쌍마막회	서울특별시 마포구 토정로 257 (용강동)	서울특별시 마포구 용강동  494번지 36호  		한식	해장국	용강동	02 7141233
쌍마막회	서울특별시 마포구 토정로 257 (용강동)	서울특별시 마포구 용강동  494번지 36호  		한식	해장국	용강동	02 7141233
(주)거구상사(거구장)	서울특별시 마포구 백범로 23 (신수동외 8필지)	서울특별시 마포구 신수동  63번지 14호  외 8필지		한식	갈비.불고기	대흥동	02 7153611
참치가	서울특별시 마포구 양화로 100-10 (서교동2층)	서울특별시 마포구 서교동  372번지 5호  2층		일식	참치회	서교동	203384806
참치가	서울특별시 마포구 양화로 100-10 (서교동2층)	서울특별시 마포구 서교동  372번지 5호  2층		일식	참치회	서교동	203384806
은하반점	서울특별시 마포구 마포대로 63-8 (도화동삼창빌딩 지하 5960호)	서울특별시 마포구 도화동  173번지  삼창빌딩 지하 5960호		중국식	자장면	용강동	02 7012401
은하반점	서울특별시 마포구 마포대로 63-8 (도화동삼창빌딩 지하 5960호)	서울특별시 마포구 도화동  173번지  삼창빌딩 지하 5960호		중국식	자장면	용강동	02 7012401
아름소왕접시해물찜	서울특별시 마포구 토정로37길 21-5 1층동 2층호 (용강동)	서울특별시 마포구 용강동  26번지 1호 1층 -2층		한식	해물찜	용강동	02 7155446
아름소왕접시해물찜	서울특별시 마포구 토정로37길 21-5 1층동 2층호 (용강동)	서울특별시 마포구 용강동  26번지 1호 1층 -2층		한식	해물찜	용강동	02 7155446
쎈다이	서울특별시 마포구 만리재로 15 (공덕동)	서울특별시 마포구 공덕동  256번지 13호  		일식	회정식	아현동	02 7187288
무쇠솥부대찌개	서울특별시 마포구 마포대로8안길 18 (공덕동지상2층)	서울특별시 마포구 공덕동  249번지 50호  지상2층		한식	부대찌개	공덕동	02  32725749
무쇠솥부대찌개	서울특별시 마포구 마포대로8안길 18 (공덕동지상2층)	서울특별시 마포구 공덕동  249번지 50호  지상2층		한식	부대찌개	공덕동	02  32725749
본디안동	서울특별시 마포구 마포대로14가길 18-7 (공덕동)	서울특별시 마포구 공덕동  105번지 137호  		한식	정식	공덕동	232726465
본디안동	서울특별시 마포구 마포대로14가길 18-7 (공덕동)	서울특별시 마포구 공덕동  105번지 137호  		한식	정식	공덕동	232726465
참복집	서울특별시 마포구 만리재로1길 14 (공덕동)	서울특별시 마포구 공덕동  256번지 20호  		일식	복지리	아현동	02 7151198
참복집	서울특별시 마포구 만리재로1길 14 (공덕동)	서울특별시 마포구 공덕동  256번지 20호  		일식	복지리	아현동	02 7151198
돌배기집(마포가든점)	서울특별시 마포구 도화길 29-1 1층 (도화동)	서울특별시 마포구 도화동  179번지 6호  		한식	회	도화동	02711 8295
돌배기집(마포가든점)	서울특별시 마포구 도화길 29-1 1층 (도화동)	서울특별시 마포구 도화동  179번지 6호  		한식	고기	도화동	02711 8295
칠프로(7%)칠백식당	서울특별시 마포구 토정로32길 4 (용강동)	서울특별시 마포구 용강동  122번지 16호  		한식	한우	용강동	02 7112482
거부	서울특별시 마포구 토정로37길 46 지1-동 13호호 (도화동정우빌딩)	서울특별시 마포구 도화동  536번지 0호 지1- 정우빌딩-13호		한식	등심	용강동	02 7179387
거부	서울특별시 마포구 토정로37길 46 지1-동 13호호 (도화동정우빌딩)	서울특별시 마포구 도화동  536번지 0호 지1- 정우빌딩-13호		한식	등심	용강동	02 7179387
원당감자탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
원당감자탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
성진설렁탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
성진설렁탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
원당감자탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
원당감자탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
성진설렁탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
성진설렁탕	서울특별시 마포구 마포대로8길 9 (공덕동)	서울특별시 마포구 공덕동  249번지 12호  		한식	감자탕	아현동	02 7154520
백년백세	서울특별시 마포구 양화로 118 1층동 (서교동)	서울특별시 마포구 서교동  354번지 12호 1층 		한식	삼계탕	서교동	02 3253399
백년백세	서울특별시 마포구 양화로 118 1층동 (서교동)	서울특별시 마포구 서교동  354번지 12호 1층 		한식	삼계탕	서교동	02 3253399
서대문김치찜마포점	서울특별시 마포구 마포대로14가길 20 (공덕동 1층)	서울특별시 마포구 공덕동  105번지 135호  		한식	한식(한정식)	공덕동	02 7061308
지호한방삼계탕	서울특별시 마포구 마포대로 127 1층동 102호 (공덕동풍림VIP텔)	서울특별시 마포구 공덕동  404번지 0호 1층 풍림VIP텔-102		한식	삼계탕	아현동	02 7153700
황톳길	서울특별시 마포구 마포대로11길 15-7 (공덕동)	서울특별시 마포구 공덕동  270번지 1호  		한식	비빔밥	공덕동	232729240
남성식당	서울특별시 마포구 마포대로19길 28 (아현동1층)	서울특별시 마포구 아현동  613번지 17호  1층		한식	삼겹살	공덕동	02 3624804
미래	서울특별시 마포구 마포대로 144 (공덕동 태영빌딩 지하1층)	서울특별시 마포구 공덕동  252번지 5호  		한식	한정식	공덕동	02 7185292
옹기	서울특별시 마포구 마포대로 144 지하1층 (공덕동 태영빌딩)	서울특별시 마포구 공덕동  252번지 5호  		한식	수제비	공덕동	02 7140116
옹기	서울특별시 마포구 마포대로 144 지하1층 (공덕동 태영빌딩)	서울특별시 마포구 공덕동  252번지 5호  		한식	수제비	공덕동	02 7140116
마포원조주물럭	서울특별시 마포구 토정로 294 (용강동)	서울특별시 마포구 용강동  45번지 1호  		한식	주물럭	용강동	02 7193001
마포원조주물럭	서울특별시 마포구 토정로 294 (용강동)	서울특별시 마포구 용강동  45번지 1호  		한식		용강동	02 7193001
우림집	서울특별시 마포구 토정로37길 13 1층 (용강동)	서울특별시 마포구 용강동  38번지 2호  		한식	한식	용강동	02 7124650
우림집	서울특별시 마포구 토정로37길 13 1층 (용강동)	서울특별시 마포구 용강동  38번지 2호  		한식	한식	용강동	02 7124650
이대조뼈다귀	서울특별시 마포구 동교로 200 (동교동)	서울특별시 마포구 동교동  158번지 26호  		한식		서교동	02 3249797
마산식당	서울특별시 마포구 월드컵로1길 30 (합정동)	서울특별시 마포구 합정동  387번지 23호  		한식	아구찜	합정동	02 3255523
마산식당	서울특별시 마포구 월드컵로1길 30 (합정동)	서울특별시 마포구 합정동  387번지 23호  		한식	아구찜	합정동	02 3255523
동보성	서울특별시 마포구 양화로19길 16 (동교동 1층)	서울특별시 마포구 동교동  154번지 19호  		중국식		서교동	02 3375959
강진수산물직판장	서울특별시 마포구 마포대로 63-8 78-동 87호호 (도화동삼창지하1층)	서울특별시 마포구 도화동  173번지 0호 78- 삼창지하1층-87호		일식	모듬회	용강동	02 7040744
강진수산물직판장	서울특별시 마포구 마포대로 63-8 78-동 87호호 (도화동삼창지하1층)	서울특별시 마포구 도화동  173번지 0호 78- 삼창지하1층-87호		일식	모듬회	용강동	02 7040744
참돌복	서울특별시 마포구 삼개로3길 6 (도화동)	서울특별시 마포구 도화동  204번지 11호  		한식	참이맛감자탕	도화동	703 6800
참돌복	서울특별시 마포구 삼개로3길 6 (도화동)	서울특별시 마포구 도화동  204번지 11호  		한식		도화동	703 6800
동해물우리바다	서울특별시 마포구 신촌로 74 (노고산동)	서울특별시 마포구 노고산동  49번지 25호  		일식	광어	서교동	02 3251211
동해물우리바다	서울특별시 마포구 신촌로 74 (노고산동)	서울특별시 마포구 노고산동  49번지 25호  		일식	회	서교동	02 3251211
춘자대구탕	서울특별시 마포구 월드컵북로1길 50 (서교동)	서울특별시 마포구 서교동  375번지 5호  		한식	대구탕	서교동	231414428
양촌리	서울특별시 마포구 토정로 304 (용강동)	서울특별시 마포구 용강동  50번지 2호  		일식	회	용강동	02 7010455
양촌리	서울특별시 마포구 토정로 304 (용강동)	서울특별시 마포구 용강동  50번지 2호  		일식	회	용강동	02 7010455
나루터	서울특별시 마포구 마포대로4길 32-4 (도화동)	서울특별시 마포구 도화동  59번지 0호  		한식	한정식	도화동	02 7165292
젠	서울특별시 마포구 와우산로17길 19-8 (서교동 1~2층)	서울특별시 마포구 서교동  408번지 3호  		경양식	파스타	서교동	02 3257948
무한장어	서울특별시 마포구 만리재로1길 7 (공덕동)	서울특별시 마포구 공덕동  255번지 23호  		일식	참치정식	공덕동	02 7017399
태능식당	서울특별시 마포구 굴레방로 19-1 (아현동)	서울특별시 마포구 아현동  291번지 5호  		한식	돼지갈비	아현동	02 3651595
태능식당	서울특별시 마포구 굴레방로 19-1 (아현동)	서울특별시 마포구 아현동  291번지 5호  		한식	돼지갈비	아현동	02 3651595
신의주찹쌀순대전문점	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
신의주찹쌀순대전문점	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
유대경능이누룽지닭오리백숙	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
유대경능이누룽지닭오리백숙	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
신의주찹쌀순대전문점	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
신의주찹쌀순대전문점	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
유대경능이누룽지닭오리백숙	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
유대경능이누룽지닭오리백숙	서울특별시 마포구 서강로 128 (노고산동)	서울특별시 마포구 노고산동  109번지 154호  		한식	찹쌀순대	대흥동	02  715 1772
능이네능이버섯백숙	서울특별시 마포구 마포대로 180-13 (공덕동 1층)	서울특별시 마포구 공덕동  105번지 163호  		한식		공덕동	02 7118163
능이네능이버섯백숙	서울특별시 마포구 마포대로 180-13 (공덕동 1층)	서울특별시 마포구 공덕동  105번지 163호  		한식		공덕동	02 7118163
안동한우마을	서울특별시 마포구 동교로 162 (서교동)	서울특별시 마포구 서교동  351번지 24호  		한식	한우구이	서교동	02 3249139
마포식당	서울특별시 마포구 월드컵로 164 (성산동(1층))	서울특별시 마포구 성산동  279번지 17호  (1층)		한식	삼계탕	성산제1동	02 3382509
마포식당	서울특별시 마포구 월드컵로 164 (성산동(1층))	서울특별시 마포구 성산동  279번지 17호  (1층)		한식	삼계탕	성산제1동	02 3382509
진어참치	서울특별시 마포구 연남로3길 34 (연남동(1층))	서울특별시 마포구 연남동  561번지 8호  (1층)		일식	회	연남동	02 3327412
진어참치	서울특별시 마포구 연남로3길 34 (연남동(1층))	서울특별시 마포구 연남동  561번지 8호  (1층)		일식	회	연남동	02 3327412
목포낙지마을	서울특별시 마포구 월드컵로32길 11 (성산동)	서울특별시 마포구 성산동  278번지 41호  		한식	연포탕 낙지볶음	성산제1동	02 3331032
내고향 풍천장어	서울특별시 마포구 동교로 143 (서교동)	서울특별시 마포구 서교동  461번지 25호  		한식	장어구이	서교동	3222014
청원	서울특별시 마포구 월드컵로 43 (합정동1층)	서울특별시 마포구 합정동  427번지 12호  1층		복어취급	회정식	합정동	02  3233124
청원	서울특별시 마포구 월드컵로 43 (합정동1층)	서울특별시 마포구 합정동  427번지 12호  1층		복어취급		합정동	02  3233124
임가네해물천국	서울특별시 마포구 망원로 49-1 (망원동)	서울특별시 마포구 망원동  421번지 36호  		한식	아구해물탕	망원제1동	02 3385426
본죽(도화점)	서울특별시 마포구 도화길 43 2층 202호 (도화동 나눔빌딩)	서울특별시 마포구 도화동  571번지  나눔빌딩2층202호		분식		도화동	02 7114010
서경도락	서울특별시 마포구 삼개로 21 (도화동 1층)	서울특별시 마포구 도화동  204번지 9호  		한식		도화동	02  707 0763
백리향	서울특별시 마포구 동교로 278 (연남동24)	서울특별시 마포구 연남동  224번지 23호  24		중국식	굴짬뽕	연남동	3368227
백리향	서울특별시 마포구 동교로 278 (연남동24)	서울특별시 마포구 연남동  224번지 23호  24		중국식	굴짬뽕	연남동	3368227
풍산집	서울특별시 마포구 새창로4길 15 지상1층 (도화동)	서울특별시 마포구 도화동  185번지 20호  		한식	구이	도화동	02 7071107
조박집투	서울특별시 마포구 토정로 311 (용강동 1층)	서울특별시 마포구 용강동  43번지 2호  		한식	소갈비	용강동	7184410
조박집투	서울특별시 마포구 토정로 311 (용강동 1층)	서울특별시 마포구 용강동  43번지 2호  		한식	소갈비	용강동	7184410
설참치 홍대점	서울특별시 마포구 양화로15길 12 (서교동 1층)	서울특별시 마포구 서교동  352번지 26호  		중국식	참치회	서교동	231436811
돈수백	서울특별시 마포구 홍익로6길 56 (동교동1층)	서울특별시 마포구 동교동  164번지 24호  1층		한식	돈탕반	서교동	324 3131
참치와활어	서울특별시 마포구 큰우물로 7 (대흥동2층)	서울특별시 마포구 대흥동  339번지  2층		일식	모듬초밥	대흥동	7060846
참치와활어	서울특별시 마포구 큰우물로 7 (대흥동2층)	서울특별시 마포구 대흥동  339번지  2층		일식	모듬초밥	대흥동	7060846
돌쇠풍천민물장어	서울특별시 마포구 월드컵로 87 (망원동 마포로얄프라자 201~203호)	서울특별시 마포구 망원동  377번지 1호  		한식	보쌈	망원제1동	02 3229197
돌쇠풍천민물장어	서울특별시 마포구 월드컵로 87 (망원동 마포로얄프라자 201~203호)	서울특별시 마포구 망원동  377번지 1호  		한식	보쌈	망원제1동	02 3229197
돈까스&덮밥	서울특별시 마포구 마포대로14가길 14 (공덕동)	서울특별시 마포구 공덕동  105번지 182호  		일식	복요리	공덕동	7159013
돈까스&덮밥	서울특별시 마포구 마포대로14가길 14 (공덕동)	서울특별시 마포구 공덕동  105번지 182호  		일식	복요리	공덕동	7159013
정성담은곰탕	서울특별시 마포구 마포대로14가길 14 (공덕동)	서울특별시 마포구 공덕동  105번지 182호  		일식	복요리	공덕동	7159013
정성담은곰탕	서울특별시 마포구 마포대로14가길 14 (공덕동)	서울특별시 마포구 공덕동  105번지 182호  		일식	복요리	공덕동	7159013
공사장네족발공족	서울특별시 마포구 토정로37길 21-1 (용강동 1층)	서울특별시 마포구 용강동  19번지 8호  		한식	해물찜	용강동	7037376
공사장네족발공족	서울특별시 마포구 토정로37길 21-1 (용강동 1층)	서울특별시 마포구 용강동  19번지 8호  		한식	해물찜	용강동	7037376
양산박	서울특별시 마포구 마포대로4길 37 (도화동1층)	서울특별시 마포구 도화동  159번지 1호  1층		한식	콩나물국밥	도화동	02  711 0888
양산박	서울특별시 마포구 마포대로4길 37 (도화동1층)	서울특별시 마포구 도화동  159번지 1호  1층		한식	콩나물국밥	도화동	02  711 0888
돈방석	서울특별시 마포구 신촌로20길 9 가동 (노고산동 삼진빌딩 1층일부)	서울특별시 마포구 노고산동  33번지 19호 가 외7필지 삼진빌딩 1층일부(103호)		한식	흙돼지삼겹	대흥동	7196252
돈방석	서울특별시 마포구 신촌로20길 9 가동 (노고산동 삼진빌딩 1층일부)	서울특별시 마포구 노고산동  33번지 19호 가 외7필지 삼진빌딩 1층일부(103호)		한식	흙돼지삼겹	대흥동	7196252
김앤김대게공덕점	서울특별시 마포구 마포대로 109 (공덕동 롯데캐슬 지하2층 201호)	서울특별시 마포구 공덕동  467번지  		한식	등심구이	공덕동	
김앤김대게공덕점	서울특별시 마포구 마포대로 109 (공덕동 롯데캐슬 지하2층 201호)	서울특별시 마포구 공덕동  467번지  		한식	대게	공덕동	
송백	서울특별시 마포구 마포대로 196 (아현동지하2호 고려아카데미텔)	서울특별시 마포구 아현동  437번지 3호  지하2호 고려아카데미텔		한식	부대찌개	공덕동	
불킹해물요리전문점	서울특별시 마포구 월드컵로 190 (성산동이안상암2차 1층 109호110호)	서울특별시 마포구 성산동  592번지 6호  이안상암2차 1층 109호110호		한식	킹크랩	성산제1동	3087703
불킹해물요리전문점	서울특별시 마포구 월드컵로 190 (성산동이안상암2차 1층 109호110호)	서울특별시 마포구 성산동  592번지 6호  이안상암2차 1층 109호110호		한식	킹크랩	성산제1동	3087703
(주)예울에프씨지즐성산점	서울특별시 마포구 월드컵북로 137 1층 (성산동)	서울특별시 마포구 성산동  56번지 3호  		일식	생선회	성산제2동	02 332 5003
장가네설렁탕	서울특별시 마포구 토정로37길 23 (용강동 1층)	서울특별시 마포구 용강동  19번지 7호  		한식	한식(설렁탕)	용강동	7159797
뚝배기	서울특별시 마포구 토정로37길 23 (용강동 1층)	서울특별시 마포구 용강동  19번지 7호  		한식	한식(설렁탕)	용강동	7159797
장가네설렁탕	서울특별시 마포구 토정로37길 23 (용강동 1층)	서울특별시 마포구 용강동  19번지 7호  		한식	한식(설렁탕)	용강동	7159797
뚝배기	서울특별시 마포구 토정로37길 23 (용강동 1층)	서울특별시 마포구 용강동  19번지 7호  		한식	한식(설렁탕)	용강동	7159797
다락방	서울특별시 마포구 만리재로1길 5 지상1층 (공덕동)	서울특별시 마포구 공덕동  255번지 23호  		한식	돼지갈비	공덕동	02  703 8898
육사육사부대찌개	서울특별시 마포구 월드컵로 190 (성산동 이안상암2차 101호)	서울특별시 마포구 성산동  592번지 6호  이안상암2차101102호		한식	순대	성산제1동	02  304 6464
육사육사부대찌개	서울특별시 마포구 월드컵로 190 (성산동 이안상암2차 101호)	서울특별시 마포구 성산동  592번지 6호  이안상암2차101102호		한식	순대	성산제1동	02  304 6464
명품진설렁탕	서울특별시 마포구 월드컵로 190 (성산동 이안상암2차 101호)	서울특별시 마포구 성산동  592번지 6호  이안상암2차101102호		한식	순대	성산제1동	02  304 6464
