업소 명	자치구 명	업종 명	업태 명	식품인증구분	식품인증 구분명	지도 Y좌표	지도 X좌표	전화번호	도로명상세주소	도로명주소코드	도로명주소	업소인증메뉴														
토종집	강북구	일반음식점	한식	4	저염실천음식점	37.62715062	127.0107301	02-981-3104	32 (수유동(산마루길 20-2))	1.13054E+15	서울특별시 강북구 인수봉로19나길	삼계탕(닭한마리)														
쿠우쿠우	강북구	일반음식점	뷔페식	4	저염실천음식점	37.63712794	127.0242048	02-993-6274	323 (수유동)	1.13053E+15	서울특별시 강북구 도봉로	미소장국														
최가네 양평해장국	강북구	일반음식점	식육취급	4	저염실천음식점	37.63512592	127.0319081	02-901-7622	162 (번동)	1.13053E+15	서울특별시 강북구 덕릉로	선지해장국														
여가네	강북구	일반음식점	한식	4	저염실천음식점	37.63703389	127.0258272	02-995-5030	14	1.13054E+15	서울특별시 강북구 오패산로77길	청국장찌개														
귀품찬	강북구	일반음식점	한식	4	저염실천음식점	37.63643974	127.0234614	02-995-0092	313 (수유동)	1.13053E+15	서울특별시 강북구 도봉로	갈비탕														
평양면옥	중구	일반음식점	한식	4	저염실천음식점	37.56336071	127.0066508	  02-0267-7784	207 (장충동1가 26 - 32 (1층))	1.11403E+15	서울특별시 중구 장충단로	물냉면														
백상	중구	일반음식점	한식	4	저염실천음식점	37.56118049	127.0008511	  02-2263-7700	49 (묵정동)	1.11404E+15	서울특별시 중구 서애로1길	갈비탕														
남문토방	중구	일반음식점	한식	4	저염실천음식점	37.56106708	126.9800438	  02-778-6727	73-5 (회현동1가)	1.11404E+15	서울특별시 중구 남대문시장길	추어탕														
낙동강	중구	일반음식점	한식	4	저염실천음식점	37.56760109	126.9799832	  02-0777-1797	32-3 (다동)	1.11404E+15	서울특별시 중구 을지로1길	쇠고기된장찌개														
구팡돌할매보쌈	중구	일반음식점	한식	4	저염실천음식점	37.56472444	126.9763529	  02-7544-353	7 (태평로2가(지하1층지상1층))	1.11404E+15	서울특별시 중구 덕수궁길	우거지 된장국														
일품(一品)간장게장	은평구	일반음식점	한식	4	저염실천음식점	37.60783836	126.9241252	02-388-2299	125 (대조동 12층)	1.13803E+15	서울특별시 은평구 진흥로	된장찌개														
정동진(삼계탕집)	동작구	일반음식점	한식	4	저염실천음식점	37.51103211	126.9443608	02-815-2559	85 (노량진동)	1.15903E+15	서울특별시 동작구 만양로	삼계탕														
한우한마리	강서구	일반음식점	한식	4	저염실천음식점	37.52827459	126.8445382	02-2065-1616	65 1~2층 (화곡동 1동)	1.15004E+15	서울특별시 강서구 강서로5나길	갈비탕														
미소향샤브샤브	동작구	일반음식점	한식	4	저염실천음식점	37.49965719	126.9510777	02-824-5780	319 (상도1동 1층)	1.15903E+15	서울특별시 동작구 상도로	소고기샤브샤브														
무봉리토종순대국방화지점	강서구	일반음식점	한식	4	저염실천음식점	37.57333618	126.8128707	02-2667-0688	82-1 1층 (방화동 1동)	1.15003E+15	서울특별시 강서구 양천로	순대국														
화로구이	강서구	일반음식점	한식	4	저염실천음식점	37.55903416	126.8387791	02-3663-3292	374 1~3층 (등촌동 3동)	1.15003E+15	서울특별시 강서구 강서로	된장찌개														
풍년오리	관악구	일반음식점	한식	4	저염실천음식점	37.4801453	126.9518908	02-875-9999	9 2층 (봉천동)	1.16204E+15	서울특별시 관악구 관악로15길	된장찌개 우거지 된장국														
(태기골)봉평메밀막국수수락산점	노원구	일반음식점	한식	4	저염실천음식점	37.67623411	127.0561342	02-933-7077	9 (상계동 1119-16)	1.13504E+15	서울특별시 노원구 동일로242나길	칼국수														
남원추어탕	노원구	일반음식점	한식	4	저염실천음식점	37.63987713	127.0642826	02-973-1170	29 (중계동브라운스톤 중계 107108109호)	1.13504E+15	서울특별시 노원구 동일로203가길	추어탕														
명가주막	노원구	일반음식점	한식	4	저염실천음식점	37.67597087	127.0564423	02-935-2627	8 (상계동)	1.13504E+15	서울특별시 노원구 동일로242나길	두부전골														
신의주찹쌀순대	노원구	일반음식점	한식	4	저염실천음식점	37.63987713	127.0642826	02-977-8749	29 (중계동브라운스톤중계  1층 144호 145호)	1.13504E+15	서울특별시 노원구 동일로203가길	순대국														
고향한방삼계탕	동작구	일반음식점	한식	4	저염실천음식점	37.50355586	126.9490032	02-814-1007	268-1 (상도1동)	1.15903E+15	서울특별시 동작구 양녕로	삼계탕														
내고향 나주곰탕	동작구	일반음식점	한식	4	저염실천음식점	37.48601844	126.9691459	02-3476-2999	183 (사당동)	1.15903E+15	서울특별시 동작구 사당로	곰탕														
(원)할머니보쌈	은평구	일반음식점	한식	4	저염실천음식점	37.59470503	126.9180014	02-355-3101	253 1층 (응암동)	1.13803E+15	서울특별시 은평구 응암로	콩나물국														
단우정	은평구	일반음식점	한식	4	저염실천음식점	37.60157762	126.9230988	02-355-2900	9 (응암동 1층)	1.13804E+15	서울특별시 은평구 은평로11길	된장찌개														
이필배의 진짜루 명태촌	동작구	일반음식점	한식	4	저염실천음식점	37.49540544	126.9535728	02 815 2322	25 (상도동 2층)	1.15904E+15	서울특별시 동작구 상도로62길	된장국														
행복한 밥상	동작구	일반음식점	한식	4	저염실천음식점	37.50801346	126.9476882	02-813-7738	40-2 (노량진동 1층)	1.15903E+15	서울특별시 동작구 만양로	 청국장얼갈이된장국														
만다린	서초구	일반음식점	중국식	4	저염실천음식점	37.47848282	127.0006105	02-581-3366	10-15 (방배동 대영빌딩1층 101호)	1.16504E+15	서울특별시 서초구 방배로6길	팽이미소된장국														
평가옥	서초구	일반음식점	한식	4	저염실천음식점	37.4761782	127.0457189	02-3462-1577	69 (양재동1층2층)	1.16503E+15	서울특별시 서초구 논현로	냉면														
옛고을	성동구	일반음식점	한식	4	저염실천음식점	37.55672416	127.0357181	02-2292-4557	36 (행당동(지상1층))	1.12004E+15	서울특별시 성동구 고산자로6가길	잔치국수(국수)														
이강순실비집	영등포구	일반음식점	한식	4	저염실천음식점	37.51855948	126.9075965	02-2678-1969	8 (영등포동3가1~2층)	1.15604E+15	서울특별시 영등포구 영등포로46길	조개탕														
큰솥설렁탕	동작구	일반음식점	한식	4	저염실천음식점	37.5060362	126.96042	070-8732-6687	102 B101-2호 (흑석동중대병원)	1.15903E+15	서울특별시 동작구 흑석로	설렁탕														
평안도찹쌀순대전문점	동작구	일반음식점	한식	4	저염실천음식점	37.5060362	126.96042	02 824-2346	102 (흑석동지하106호)	1.15903E+15	서울특별시 동작구 흑석로	순대국														
내고향본가	서초구	일반음식점	한식	4	저염실천음식점	37.51453642	127.0160256	02-540-6331	56 (잠원동2345)	1.16503E+15	서울특별시 서초구 나루터로	맑은된장국														
서초보쌈	서초구	일반음식점	한식	4	저염실천음식점	37.49549237	127.0187129	02-537-6201	341	1.16502E+15	서울특별시 서초구 서초대로	우거지탕														
서초불쭈꾸미	서초구	일반음식점	한식	4	저염실천음식점	37.49074699	127.0092496	02-3468-9994	29	1.16504E+15	서울특별시 서초구 서초대로42길	황태국														
원조목포항아구찜	서초구	일반음식점	한식	4	저염실천음식점	37.51506943	127.0186273	02-545-1257	107	1.16504E+15	서울특별시 서초구 신반포로47길	해물탕														
곤드레쌈밥집	성동구	일반음식점	한식	4	저염실천음식점	37.55481409	127.0203348	02-792-2986	1 2층 (금호동1가 125-1)	1.12003E+15	서울특별시 성동구 행당로	된장찌개														
동막골	성동구	일반음식점	한식	4	저염실천음식점	37.56482224	127.0359755	02-2291-5789	281 (홍익동(2층))	1.12003E+15	서울특별시 성동구 고산자로	(생)대구탕/대구지리														
소대식당	성동구	일반음식점	한식	4	저염실천음식점	37.56659982	127.0331964	02-2291-8897	211 (홍익동)	1.12003E+15	서울특별시 성동구 마장로	복국지리														
심가네한우고집	성동구	일반음식점	한식	4	저염실천음식점	0	0	02-2281-1214	7 123층 (마장동 797-90)	1.12004E+15	서울특별시 성동구 마조로19길	갈비탕														
이북집찹쌀순대	성동구	일반음식점	한식	4	저염실천음식점	37.54344588	127.0570438	02-464-2270	96 (성수동2가)	1.12003E+15	서울특별시 성동구 성수이로	순대국														
전원오리구이생삼겹살	성동구	일반음식점	한식	4	저염실천음식점	37.56226777	127.0334028	02-2295-5292	323 (행당동)	1.12003E+15	서울특별시 성동구 왕십리로	시래기된장국														
정원식당	성동구	일반음식점	한식	4	저염실천음식점	37.56606249	127.0343643	02-2291-8922	220-5 (홍익동)	1.12003E+15	서울특별시 성동구 마장로	된장찌개														
태평양수산	성동구	일반음식점	일식	4	저염실천음식점	37.56693575	127.0303623	02-2296-4988	185 (홍익동)	1.12003E+15	서울특별시 성동구 마장로	미역국														
로즈힐목동점	양천구	일반음식점	한식	4	저염실천음식점	37.52719679	126.874692	02-2651-2090	257 (목동 현대백화점 6층)	1.14703E+15	서울특별시 양천구 목동동로	샤브샤브육수														
강경순계절맛집	영등포구	일반음식점	한식	4	저염실천음식점	37.53293204	126.902836	02-267-8435	214 (당산동5가당산삼성래미안상가1동210호)	1.15603E+15	서울특별시 영등포구 당산로	민어탕														
능이버섯백숙	영등포구	일반음식점	한식	4	저염실천음식점	37.51675574	126.8888578	02-2677-7373	32 (문래동4가(1층))	1.15603E+15	서울특별시 영등포구 선유로	삼계탕														
박가부대 당산점	영등포구	일반음식점	한식	4	저염실천음식점	37.53455976	126.8970591	02-2068-7868	246 (양평동4가)	1.15603E+15	서울특별시 영등포구 선유로	부대찌개														
신동양	영등포구	일반음식점	중국식	4	저염실천음식점	37.52146942	126.924973	02-782-1754	42 (여의도동종합상가)	1.15603E+15	서울특별시 영등포구 여의나루로	짬뽕														
어도	영등포구	일반음식점	일식	4	저염실천음식점	37.52024136	126.9264086	02-785-3336	127 (여의도동롯데캐슬엠파이어 지하1층 B-007호)	1.15602E+15	서울특별시 영등포구 의사당대로	대구탕														
예성푸드써비스	영등포구	일반음식점	한식	4	저염실천음식점	37.52138717	126.9259957	02-785-4355	38 1호 (여의도동화재보험)	1.15604E+15	서울특별시 영등포구 국제금융로6길	소고기샤브샤브														
최고집칼국수	도봉구	일반음식점	한식	4	저염실천음식점	37.64115973	127.0409387	02-995-5333	270 (창동(지상1층))	1.13203E+15	서울특별시 도봉구 덕릉로	새알팥죽														
강서면옥	중구	일반음식점	한식	4	저염실천음식점	37.56198131	126.9739769	 02-752-1945	35 (서소문동)	1.11404E+15	서울특별시 중구 세종대로11길	한우갈비탕														
고궁	중구	일반음식점	한식	4	저염실천음식점	37.56200143	126.9865629	  02-776-3211	27 지상2층	1.11404E+15	서울특별시 중구 명동8가길	맑은콩나물국														
대복	중구	일반음식점	한식	4	저염실천음식점	37.56280022	126.977929	  02-755-0189	22	1.11404E+15	서울특별시 중구 세종대로14길	복국지리														
미가참치	중구	일반음식점	일식	4	저염실천음식점	37.56533903	126.9895957	02-3406-9470	45 (저동2가Biz센터 1층 105~108호)	1.11403E+15	서울특별시 중구 수표로	미나리버섯된장국														
쁘띠하노이(서울역점)	중구	일반음식점	기타(일반음식점)	4	저염실천음식점	37.55430123	126.9740475	  02-3789-2884	110 (남대문로5가지하1층)	1.11403E+15	서울특별시 중구 후암로	베트남쌀국수														
오발탄	중구	일반음식점	한식	4	저염실천음식점	37.56175702	126.994857	  02-2266-2678	205 (필동2가)	1.11403E+15	서울특별시 중구 퇴계로	갈비탕														
어반가든	중구	일반음식점	까페	4	저염실천음식점	37.56738988	126.9697507	  02- 777-2254	12 (1층 2층)	1.11404E+15	서울특별시 중구 정동길	옥수수스프														
아웃백 스테이크 하우스(서대문점)	중구	일반음식점	경양식	4	저염실천음식점	37.56524143	126.9679315	  02-6325-2501	114 (의주로1가외31필지(지상2층))	1.11403E+15	서울특별시 중구 통일로	양송이스프 														
서울뚝배기	중구	일반음식점	한식	4	저염실천음식점	37.56295688	126.9905559	  02-2263-0596	1 (충무로3가)	1.11404E+15	서울특별시 중구 수표로6길	해물된장찌개														
발우공양고상	중구	일반음식점	한식	4	저염실천음식점	37.56733877	126.9852082	  02-6030-8955	26 (수하동외 1필지 센터원빌딩 지하2층)	1.11404E+15	서울특별시 중구 을지로5길	버섯두부된장국														
명동삼계탕	중구	일반음식점	한식	4	저염실천음식점	37.5690131	126.9759486	  02-778-7370	55 외1필지(지상2층)	1.11404E+15	서울특별시 중구 세종대로21길	삼계탕														
대림정	중구	일반음식점	한식	4	저염실천음식점	37.56175702	126.994857	  02-2266-2678	205 (필동2가)	1.11403E+15	서울특별시 중구 퇴계로	된장찌개														
노사봉家 아리랑	중구	일반음식점	한식	4	저염실천음식점	37.56388549	126.9805863	 02-775-0289	23 (소공동(1층))	1.11404E+15	서울특별시 중구 남대문로7길	갈비탕														
남도한식고운님	중구	일반음식점	중국식	4	저염실천음식점	37.56339832	126.9770777	  02-775-0038	82 (지상2층)	1.11402E+15	서울특별시 중구 세종대로	된장찌개														
KR 명동삼계탕	중구	일반음식점	한식	4	저염실천음식점	37.5690131	126.9759486	  02-778-7370	55 외1필지(지상2층)	1.11404E+15	서울특별시 중구 세종대로21길	삼계탕														
수현회집	성동구	일반음식점	일식	4	저염실천음식점	37.5618786	127.0331898	02-2295-9524	12 지상1층 (행당동 286-17)	1.12004E+15	서울특별시 성동구 무학봉28길	육수														
바다향	양천구	일반음식점	일식	4	저염실천음식점	37.52066133	126.8605809	02-2645-0535	5 (신정동)	1.14704E+15	서울특별시 양천구 은행정로2길	조개국(탕)														
다미로	양천구	일반음식점	한식	4	저염실천음식점	37.52008436	126.8603015	02-2644-0977	61 (신정동 현대프라자 201202203209호)	1.14704E+15	서울특별시 양천구 중앙로32길	해물누룽지탕														
황금가든	성동구	일반음식점	한식	4	저염실천음식점	37.55721216	127.0304987	02-2296-7887	8-1 (행당동행당두산위브상가B동지상1층)	1.12004E+15	서울특별시 성동구 행당로8길	갈비탕														
한양정	성동구	일반음식점	한식	4	저염실천음식점	37.560258	127.0408763	02-2299-1711	27 (행당동37)	1.12003E+15	서울특별시 성동구 마조로	된장찌개														
담쟁이	성동구	일반음식점	한식	4	저염실천음식점	37.56300608	127.0351552	02-2282-5264	11-1 (도선동(1층))	1.12004E+15	서울특별시 성동구 왕십리로20길	칼국수														
㈜미가미	서초구	일반음식점	일식	4	저염실천음식점	37.49262495	127.0295904	02-522-6522	331 지하1층 (서초동)	1.16502E+15	서울특별시 서초구 강남대로	미소된장국														
신선설농탕	서초구	일반음식점	한식	4	저염실천음식점	37.48558476	127.0195427	02-3473-1155	322	1.16503E+15	서울특별시 서초구 효령로	설농탕														
북한산성시골밥상	은평구	일반음식점	한식	4	저염실천음식점	37.65623825	126.9489443	02-387-1178	31 (진관동외1필지(지상1층~2층))	1.13804E+15	서울특별시 은평구 대서문길	추어탕														
싸리집	동작구	일반음식점	한식	4	저염실천음식점	37.49951881	126.9216611	02-821-2951	22 (대방동)	1.15904E+15	서울특별시 동작구 여의대방로28길	보신탕(영양탕/개고기국밥)														
새마을식당	중구	일반음식점	한식	4	저염실천음식점	37.56714672	126.9784575	02-737-0335	19 (태평로1가1층)	1.11404E+15	서울특별시 중구 세종대로20길	돼지고기김치찌개														
궁중순대보쌈	동작구	일반음식점	한식	4	저염실천음식점	37.51206163	126.9349132	02-817-8664	64 (노량진동)	1.15904E+15	서울특별시 동작구 등용로14길	황태해장국														
구름산추어탕	동작구	일반음식점	한식	4	저염실천음식점	37.47786494	126.980595	02-521-1224	158	1.15904E+15	서울특별시 동작구 사당로30길	추어탕														
성바오로병원 장례식장	동대문구	일반음식점	한식	4	저염실천음식점	37.57878146	127.0436804	02-957-9128	14 지하1층 (전농동)	1.12304E+15	서울특별시 동대문구 답십리로1길	육개장														
남원추어탕(다두락)	동대문구	일반음식점	한식	4	저염실천음식점	37.5906524	127.053751	02-437-8900	160-1 1~2층 (회기동)	1.12303E+15	서울특별시 동대문구 회기로	추어탕														
시골생삼겹자연석돌구이	노원구	일반음식점	한식	4	저염실천음식점	37.6356785	127.0706643	02-978-7234	325-3	1.13503E+15	서울특별시 노원구 공릉로	된장찌게														
109부대돼지집	광진구	일반음식점	한식	4	저염실천음식점	37.55819543	127.0786357	02-467-5211	8 (중곡동)	1.12154E+15	서울특별시 광진구 천호대로107길	된장찌개														
맑은바닷가의나루터	강서구	일반음식점	일식	4	저염실천음식점	37.55902147	126.8427314	02-3663-1000	73 2~3층 (등촌동 3동)	1.15004E+15	서울특별시 강서구 강서로54길	된장찌개														
고기가 좋은 사람들	강북구	일반음식점	분식	4	저염실천음식점	37.63146244	127.0247196	010-5479-3727	72 (미아동(신일학교길 55)(지상1층))	1.13054E+15	서울특별시 강북구 덕릉로28길	육개장														
송원복집	중구	일반음식점	일식	4	저염실천음식점	37.56313552	126.978608	 02-755-3979	39	1.11404E+15	서울특별시 중구 남대문로5길	복지리														
오장동흥남집	중구	일반음식점	한식	4	저염실천음식점	37.56434118	127.0005433	  02-2266-0735	114 (오장동 지하1층~지상3층)	1.11403E+15	서울특별시 중구 마른내로	물냉면														
원할머니보쌈	중구	일반음식점	한식	4	저염실천음식점	37.55401535	127.0098414	  02-0235-7128	111 외5필지(지상1층)	1.11403E+15	서울특별시 중구 다산로	맑은콩나물국														
진주회관	중구	일반음식점	한식	4	저염실천음식점	37.56231301	126.9745835	  02-0753-5388	26 (서소문동)	1.11404E+15	서울특별시 중구 세종대로11길	콩국수														
참복집	중구	일반음식점	일식	4	저염실천음식점	37.56248313	126.9782325	02-779-0681	06월 28일	1.11404E+15	서울특별시 중구 세종대로14길	복국지리														
하동관	중구	일반음식점	한식	4	저염실천음식점	37.56443394	126.9850322	02-776-5656	12 (명동1가)	1.11404E+15	서울특별시 중구 명동9길	곰탕														
함흥냉면	중구	일반음식점	한식	4	저염실천음식점	37.56427271	126.9998823	  02-2267-9500	108 (오장동)	1.11403E+15	서울특별시 중구 마른내로	물냉면														
평래옥	중구	일반음식점	한식	4	저염실천음식점	37.56491022	126.9903881	  02-2267-5892	21-1 (저동2가1층2층)	1.11403E+15	서울특별시 중구 마른내로	물냉면														
우래옥	중구	일반음식점	한식	4	저염실천음식점	37.56821907	126.9987141	  02-2265-0151	62-29 (주교동)	1.11403E+15	서울특별시 중구 창경궁로	물냉면														
미정갈비	중구	일반음식점	한식	4	저염실천음식점	37.56694998	126.9892061	  02-2266-4281	 23 (수표동)	1.11404E+15	서울특별시 중구 삼일대로12길	우거지갈비탕														
문화옥	중구	일반음식점	한식	4	저염실천음식점	37.56811455	126.9983972	  02-2265-0322	62-5 (주교동)	1.11403E+15	서울특별시 중구 창경궁로	설렁탕														
경복궁	중구	일반음식점	한식	4	저염실천음식점	37.56446678	126.9886406	  02-2266-2004	6 (저동2가)	1.11403E+15	서울특별시 중구 마른내로	갈비탕														
진곰숯불갈비	은평구	일반음식점	한식	4	저염실천음식점	37.58728748	126.9121763	02-307-9195	345 12층 (증산동)	1.13803E+15	서울특별시 은평구 증산로	설렁탕														
놀부보쌈 부대찌개	동대문구	일반음식점	한식	4	저염실천음식점	37.59371608	127.0530557	02-960-7000	3-10 1층 (회기동)	1.12304E+15	서울특별시 동대문구 경희대로6길	부대찌개														
여의도성모장례식장	영등포구	일반음식점	한식	4	저염실천음식점	37.51827234	126.9367313	02-3779-1807	10 (여의도동성모병원장례예식장)	1.15603E+15	서울특별시 영등포구 63로	육개장														
복먹고복받고	영등포구	일반음식점	복어취급	4	저염실천음식점	37.52487051	126.8951447	02-2675-2221	8  인곡빌딩내당산동3가)	1.15604E+15	서울특별시 영등포구 양산로19길	복국매운탕														
